# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Athos, Μονή Ιβήρων, 382 (Lambros 4502)
# dc:coverage: ff. 947v-948
# dc:relation: Diktyon ID 23979
# dc:description: collazionato  in riproduzioni digitali; crocette decorative in inizio di ciascuno stoicheion, tit. Ἀρχὴ τοῦ ξ στοιχείου; lemma e interpretazione di seguito su un'unica colonna di scrittura

ξανθός : ξανθός
ξάνθησιν : ξάνθησιν
ξανθίζεσθαι : ξανθίζεσθαι
ξένω : ξένω
ξενοσύνη : ξενοσύνη
ξετόν : ξεστόν
ξεναγωγῆσαι : ξεναγωγῆσαι
ξεναγῶν : ξεναγῶν
ξένηκούσθησαν : ξενηκούσθησαν
ξοῖον : ξοῖον
ξόανον : ξόανον
ξυνάορον : ξυνάορον
ξύνες : ξύνες
ξυμβατά : ξυμβατά
ξυμβαλεῖν : ξυμβαλεῖν
ξύει : ξύει
ξυλιζομένους : ξυλιζομένους
ξύειν καὶ ξέειν διαφέρει : ξύειν καὶ ξέειν διαφέρει
ξυνθήματος : ξυνθήματος
ξυνεχῶς : ξυνεχῶς
ξυνικά : ξυνικά
ξυναρμώσας : ξυναρμώσας
ξῦνιον : ξῦνιον
ξύνορον : ξύνορον
ξυνῶν : ξυνῶν
ξυνουσία : ξυνουσία
ξύνον : ξύνον
ξυσμός : ξυσμός
ξύστρα : ξύστρα
ξυνωρίς : ξυνωρίς
