# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Bremen, Staats- und Universitätsbibliothek, C 11
# dc:coverage: ff. ***
# dc:relation: Diktyon 9820 
# dc:description: collazionato in riproduzioni digitali; 

ξαίνω : ξαίνω
ξενηλατοῦντες : ξενηλατοῦντες
ξανθήν : ξανθήν
ξανθοῖσιν : ξανθοῖσιν
ξεῖνοι : ξεῖνοι
ξεῖνε : ξεῖνε
ξεναγῶν : ξεναγῶν
ξεναγῆσαι : ξεναγῆσαι
ξενάλογος : ξενάλογος
ξενίαν : ξενίαν
ξενίζει : ξενίζει
ξενίζεται : ξενίζεται
ξενίζουσαν : ξενίζουσαν
ξεστόν : ξεστόν
ξιφήρεις : ξιφήρεις
ξόανον : ξόανον
ξουθός : ξουθός
ξύει : ξύει
ξυλιζομένη : ξυλιζομένη
ξυνωρίδα : ξυνωρίδα
ξυνιέναι : ξυνιέναι
ξυνεχῶς : ξυνεχῶς
ξυναρμώσας : ξυναρμώσας
ξυνωρίς : ξυνωρίς
ξυνάορον : ξυνάορον
ξύνες : ξύνες
ξυνθήματος : ξυνθήματος
ξυνωδά : ξυνωδά
ξύνθακος : ξύνθακος
ξυνοθόκος : ξυνοδόκος
ξυστόν : ξυστόν
ξυστίδα : ξυστίδα
ξυσμός : ξυσμός
ξῶθεν : ξῶθεν

ξηρίον : ξηρίον
ξυναγεῖραι : ξυναγεῖραι
ξυνέηκε : ξυνῆκε
ξυνήϊα : ξυνήϊα
ξηρίον : ξηρίον
ξυροῦ ἀκμῆς : ξυροῦ ἀκμῆς
ξενηγορίας : ξενηγορίας
ξένισα : ξένισα
ξεινοδόχον : ξενοδόχον
ξυνδῆσαι : ξυνδῆσαι
ξενοσύνην : ξενοσύνην
ξυνομαρτεῖ : ξυνομαρτεῖ
ξυμβαίη : ξυμβαίη
ξυνέβαλλεν : ξυνέβαλλεν
ξαινόμενος : ξαινόμενος
ξύνος : ξύνος
