# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Bremen, Staats- und Universitätsbibliothek, C 11
# dc:coverage: ff. ***
# dc:relation: Diktyon 9820 
# dc:description: collazionato in riproduzioni digitali;

ψακάς : ψακάς
ψάλιον : ψάλιον
ψάλτιξ : ψάλπιγξ
ψαρός : ψαρός
ψαῦσαι : ψαῦσαι
ψαφαρόν : ψαφαρόν
ψέγει : ψέγει
ψευδηγόρους : ψευδηγόρους
ψευδοεπεῖ : ψευδοεπεῖ
ψεύδος : ψεῦδος
ψεθομυθεῖ : ψευδομυθεῖ
ψήγματα : ψήγματα
ψῆφος : ψῆφος
ψηφίδες : ψηφίδες
ψηφηφορία : ψηφοφορία
ψήχειν : ψήχειν
ψιάδας : ψιάδας
ψιλόν : ψιλόν
ψιλοκορής : ψιλοκορής
ψογερούς : ψογερούς
ψόφος : ψόφος
ψοφοδεής : ψοφοδεής
ψαμάθοις : ψαμάθοις
ψυκτήρ : ψυκτήρ
ψύχουσι : ψύχουσι
ψυχρολογία : ψυχρολογία
ψυχρολογεῖ : ψυχρολογεῖ
ψυκούλκομαι : ψυχολκοῦμαι
ψυχαγωγεῖ : ψυχαγωγεῖ
ψυχρός : ψυχρός
ψῶκτον : ψωκτόν
ψωμιεῖσαι : ψωμιεῖ
ψώψοντες : ψώχοντες

ψεδνός : ψεδνός
ψελλός : ψελλός
ψίλη καὶ ψίλια καὶ ψέλια : ψίλη καὶ ψίλια καὶ ψέλια
ψίθυρ : ψίθυρος
ψιτακός : ψιττακός
ψειμάζειν : ψειμάζειν
ψύγεια : ψύγεια
ψεστά : ψεστά
ψῆνες : ψῆνες
ψαλτωδός : ψαλτωδός
ψηλαφῶ : ψηλαφῶ
ψιθυρίζει : ψιθυρίζει
ψυχικός : ψυχικός
ψύτγα : ψύττα
ψόθον : ψόφον
ψευδογραφημάτων : ψευδογραφημάτων
ψευδεπιπλάστοραψωδηματογράφος : ψευδεπιπλάστοραψωδηματογράφος
ψόγος : ψόγος
ψωράλεος : ψωράλεος
ψωρούς : ψωρούς
ψεχμός : ψεχμός
ψῆρες : ψῆρες
