# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Copenhagen, Det Kongelige Bibliotek, GKS 1968 4°
# dc:coverage: ff. ***
# dc:relation: Diktyon 37193 
# dc:description: collazionato in riproduzioni digitali; 

ξξαίνω : ξαίνω
ξανθήν : ξανθήν
ξανθίζεσθαι : ξανθίζεσθαι
ξείνοι : ξεῖνοι
ξενάγων : ξεναγών
ξείνον : ξεῖνον
ξενίαν : ξενίαν
ξενίζουσιν : ξενίζουσιν
ξεστόν : ξεστόν
ξέσας : ξέσας
ξηφερεῖς : ξιφηρεῖς
ξόανον : ξόανον
ξούθος : ξοῦθος
ξύει : ξύει
ξυλιζομένη : ξυλιζομένη
ξυμβαίνει : ξυμβαίνει
ξυμβαίοι : ξυμβαῖοι
ξύμμαχοι : ξύμμαχοι
ξυνωρίδα : ξυνωρίδα
ξύνιον : ξύνιον
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυστίδας : ξυστίδας
ξυνεχῶς : ξυνεχῶς
ξυναρμώσας : ξυναρμώσας
ξύστρα : ξύστρα
ξυνωρίς : ξυνωρίς
ξυνῶν : ξυνῶν
ξυναχοῖτο : ξυναχοῖτο
ξυνάορον : ξυνάορον
ξυμπονῆσαι : ξυμπονῆσαι
ξυμφορά : ξυμφορά
ξυνηΐα : ξυνήϊα
ξύνες : ξύνες
ξυνθήματος : ξυνθήματος
ξύνθακος : ξύνθακος
ξυνωδόκος : ξυνοδόκος
ξυστόν : ξυστόν
ξυστίδα : ξυστίδα
ξυστός : ξυστός
ξυσμός : ξυσμός
ξώθεν : ξώθεν
