# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Copenhagen, Det Kongelige Bibliotek, GKS 1968 4°
# dc:coverage: ff. ***
# dc:relation: Diktyon 37193 
# dc:description: collazionato in riproduzioni digitali; 

ψακάς : ψακάς
ψάλιον : ψάλιον
ψάλειν : ψάλλειν
ψάλτυγξ : ψάλτιγξ
ψαρός : ψαρός
ψαῦσαι : ψαῦσαι
ψαφαρόν : ψαφαρόν
ψαλαύσον : ψαλαύσον
ψεγει : ψέγει
ψεδίνος : ψεδινός
ψεδνήδ : ψεδνής
ψεφαίας νυκτός : ψεφαίας νυκτός
ψεκάδων : ψεκάδων
ψελλός : ψελλός
ψετά : ψεστά
ψευδοειπεῖ : ψευδοειπεῖν
ψευδ᾽ἄγγελος : ψευδ᾽ ἄγγελος
ψευσάμενοι : ψευσάμενοι
ψευδῆ : ψευδῆ
ψεῦδος : ψεῦδος
ψευδομυθεῖ : ψευδομυθεῖ
ψήγματα : ψήγματα
ψήφος : ψῆφος
ψηφίδες : ψηφίδες
ψηφισομένων : ψηφισομένων
ψηφορία : ψηφοφορία
ψιάδες : ψιάδες
ψιλόν : ψιλόν
ψιλοκορής : ψιλοκορής
ψογερούς : ψογερούς
ψόγον : ψόγος
ψοφοδεής : ψοφοδεής
ψόφος : ψόφος
ψύξας : ψύξας
ψυκτήρ : ψυκτήρ
ψύλλοι : ψύλλοι
ψύξουσι : ψύξουσι
ψύτγα : ψύττα
ψυχρολογία : ψυχρολογία
ψυχουλκούμενος : ψυχολκούμενος
ψυχαγωγεῖ : ψυχαγωγεῖ
ψυχρός : ψυχρός
ψυχηκός : ψυχικός
ψυχρολόγος : ψυχρολόγος
ψωκτών : ψωκτός
ψωμιεῖ σε : ψωμιεῖ σε
ψωμός : ψωμός
ψωχόντες : ψώχοντες
