# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Jerusalem, Πατριαρχική Βιβλιοθήκη, Sab. 137
# dc:coverage: ff. 62v-63r
# dc:relation: Diktyon 34394 
# dc:description: collazionato in riproduzioni digitali

ξανθικός : ξανθικός
ξαίνω : ξαίνω
ξενῶν : ξενῶν
ξενολόγος : ξενολόγος
ξεινοδόκος : ξενοδοκός
ξερός : ξερός
ξενία : ξενία
ξενοσύνη : ξενοσύνη
ξένιον : ξένιον
ξενίζω : ξενίζω
ξεναγῶ : ξεναγῶ
ξηρός : ξηρός
ξηνός : ξηνός
ξιφηφόρος : ξιφηφόρος
ξυνωρίς : ξυνωρίς
ξύγκλυδες : ξύγκλυδες
ξυστίς : ξυστίς
ξυνάορος : ξυνάορος
ξύνθακος : ξύνθακος
ξύει : ξύει
ξυλιζομένη : ξυλιζομένη
ξυνεχῶς : ξυνεχῶς
