# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Krakow, Biblioteka Jagiellońska, Berlin, graec. 4°.69 (371)	
# dc:coverage: ff. ***
# dc:relation: Diktyon 9238 
# dc:description: collazionato in riproduzioni digitali; 

ξαίνω : ξαίνειν
ξανθήν : ξανθός
ξανθίζεσθαι : ξανθίζεσθαι
ξενωσύνην : ξενοσύνη
ξεναγών : ξεναγεῖν
ξεῖνοι : ξεῖνος
ξεῖνον : ξεῖνος
ξενίαν : ξενία
ξενίζουσα : ξενίζειν
ξεστόν : ξεστός
ξιφηφοροῦντες : ξιφηφορεῖν
ξίφος : ξίφος
ξιφίδιον : ξιφίδιον
ξιφήρης : ξιφήρης
ξιφιλῖνος : ξιφιλῖνος
ξηρός : ξηρός
ξηλώτης : ξηλωτής
ξηρασία : ξηρασία
ξηραίνων : ξηραίνειν
ξηρίων : ξηρίον
ξήνω : ξήνειν
ξόανον : ξόανον
ξοῦθος : ξοῦθος
ξουθά : ξοῦθος
ξύει : ξύειν
ξυλεῖα : ξυλεία
ξύω : ξύειν
ξύλοχως : ξύλοχος
ξυστός : ξυστός
ξυρός : ξυρός
ξυνόν : ξυνός
ξυνεβέστης : ξυνεβέστης
ξυλιζομένη : ξυλίζειν
ξυμβαίη : ξυμβαίνειν
ξύμμαχος : ξύμμαχος
ξυνωρίδα : ξυνωρίς
ξυνθήματος : ξυνθήμα
ξύστρα : ξύστρα
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμόσαι
ξυνορίδα : ξυνορίς
ξυνῶν : ξυνών
ξυστίδα : ξυστίς
ξυνάορον : ξυνάορος
ξυμπονῆσαι : ξυμπονῆσαι
ξύνια : ξύνιον
ξύνες : ξύνες
ξυνωδα : ξυνωδά
ξύνθακος : ξύνθακος
ξυνοδόχος : ξυνοδόχος
ξυστίδα : ξυστίς
ξυστός : ξυστός
ξυσμός : ξυσμός
ξῶθεν : ξῶθεν
