# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Krakow, Biblioteka Jagiellońska, Berlin, graec. 4°.69 (371)	
# dc:coverage: ff. ***
# dc:relation: Diktyon 9238 
# dc:description: collazionato in riproduzioni digitali; 

ψακάς : ψακάς
ψάλιον : ψάλιον
ψάλτιγξ : ψάλτιγξ
ψάλειν : ψάλλειν
ψαῦσαι : ψαῦσαι
ψαφαρόν : ψαφαρόν
ψεκάδων : ψεκάδων
ψέγει : ψέγει
ψεδνός : ψεδνός
ψελός : ψελλός
ψεστά : ψεστά
ψευδηγόρους : ψευδηγόρους
ψευδοεπεῖ : ψευδοεπεῖ
ψευδάγγελος : ψευδάγγελος
ψευδή : ψευδή
ψευσάμενοι : ψευσάμενοι
ψεῦδος : ψεῦδος
ψευδομυθεῖ : ψευδομυθεῖ
ψήγματα : ψήγματα
ψῆφος : ψῆφος
ψηφισαμένων : ψηφισαμένων
ψηφίδες : ψηφίδες
ψήφινος : ψήφινος
ψηφοφορία : ψηφοφορία
ψίχειν : ψίχειν
ψιλόν : ψιλόν
ψόγος : ψόγος
ψογεροῦς : ψογερούς
ψοδεής : ψοφοδεής
ψόφος : ψόφος
ψυκτήρ : ψυκτήρ
ψυαί : ψυαί
ψύλλα : ψύλλα
ψύλοι : ψύλλοι
ψύξας : ψύξας
ψύξουσι : ψύξουσι
ψυχρολογία : ψυχρολογία
ψυχουλκοῦμαι : ψυχολκοῦμαι
ψυχρός : ψυχρός
ψυχαγωγεῖ : ψυχαγωγεῖ
ψυχρολόγος : ψυχρολόγος
ψωμή : ψωμή
ψωμιεῖται : ψωμιεῖται
ψώγοντες : ψώγοντες
