# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Scattolin, Paolo
# dc:date: 2025-08-08
# dc:source: Leiden University Library, Manuscript Voss. Gr. Q° 63 (siglum Φ) 
# dc:coverage: ff. 98r-99v
# dc:relation: Diktyon ID 38170
# dc:description: this version reproduces the manuscript Voss. Gr. Q° 63 after the corrections made by the first hand.; collazionato in originale; titolo ἀρχὴ τοῦ ξ :- con spalmature gialle, talvolta ripetute nella lettera iniziale dei lemmi. A piena pagina; voci separate da :-, lemmi da stigmé

ξαίνω : ξαίνω
ξανθήν : ξανθήν
ξανθίζεσθαι : ξανθίζεσθαι
ξάνθος : ξάνθος
ξένος : ξένος
ξενόδοχος : ξενόδοχος
ξενηκουσθησαν : ξενηκούσθησαν
ξενία : ξενία
ξενοσύνην : ξενοσύνην
ξένοι : ξένοι
ξεῖνον : ξεῖνον
ξεστόν : ξεστόν
ξενάγων : ξεναγῶν
ξενίαν : ξενίαν
ξενίζουσαν : ξενίζουσαν
ξιφήρεις : ξιφήρεις
ξιφίσματα : ξιφίσματα
ξηνός : ξηνός
ξόανον : ξόανον
ξύφει : ξίφει
ξουθὸς : ξουθός
ξουθά : ξουθά
ξύμπαντος : ξύμπαντος
ξυμβαίει : ξυμβαίνει
ξυλιζομένη : ξυλιζομένη
ξύμμαχοι : ξύμμαχοι
ξυνωρίδα : ξυνωρίδα
ξύνιον : ξύνιον
ξυμβαίνει : ξυμβαίνει
ξυλόν : ξύλον
ξύκλυδες : ξύκλυδες
ξυνθήματος : ξυνθήματος
ξυνάρασθαι : ξυναράσθαι
ξυνίστωρ : ξυνίστωρ
ξυνωρίς : ξυνωρίς
ξύσαι : ξῦσαι
ξύνιον : ξύνιον
ξύτρα : ξύτρα
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχῶς
ξυναρμώσας : ξυναρμώσας
ξυνωρίδα : ξυνωρίδα
ξυνῶν : ξυνῶν
ξυστίδας : ξυστίδας
ξυνάορον : ξυνάορον
ξυμπονῆσαι : ξυμπονῆσαι
ξύνια : ξύνια
ξυνθήματος : ξυνθήματος
ξύνωδα : ξύνωδα
ξύνθηκος : ξύνθηκος
ξυνοδόκος : ξυνοδόκος
ξυστίδα : ξυστίδα
ξυσμός : ξυσμός
ξυστός : ξυστός
ξυνωμοσία : ξυνωμοσία
ξωθέν : ξωθέν
