# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Madrid BU Complut. 116-z°-22 (30)
# dc:coverage: ff. 216-217
# dc:relation: Diktyon 40406 
# dc:description: collazionato in riproduzioni digitali; titolo assente ma lettera capita del primo lemma, del tipo ξ; lemmi e interpretazioni disposti su due distinte colonne di scrittura; non si registrano particolari elementi decorativi 

ψακάς : ψακάς
ψάλιον : ψάλιον
ψάλλειν : ψάλλειν
ψάλτιγξ : ψάλτιγξ
ψαρός : ψαρός
ψαῦσαι : ψαῦσαι
ψαφαρόν : ψαφαρόν
ψέγει : ψέγει
ψεδινός : ψεδνός
ψεδνῆδ : ψεδνή
ψαλαίσον : ψαλαίσον
ψεφαίας νυκτός : ψεφαίας νυκτός
ψεφῶν : ψεφῶν
ψεκάδων : ψεκάδων
ψελλός : ψελλός
ψεστά : ψεστά
ψευδηγόρους : ψευδηγόρους
ψευδοεπῆ : ψευδοεπῆ
ψευδ᾽ἄγγελος : ψευδ᾽ἄγγελος
ψευσάμενοι : ψευσάμενοι
ψευδῆ : ψευδῆ
ψεῦδος : ψεῦδος
ψευδομυθεῖ : ψευδομυθεῖ
ψήγματα : ψήγματα
ψῆφος : ψῆφος
ψηφισαμένων : ψηφισαμένων
ψηφίδες : ψηφίδες
ψηλοῦσα : ψηλοῦσα
ψηφοφορία : ψηφοφορία
ψήχειν : ψήχειν
ψιάδες : ψιάδες
ψιλόν : ψιλόν
ψιλοκορής : ψιλοκορής
ψογερούς : ψογερούς
ψόγον : ψόγος
ψοφοδεής : ψοφοδεής
ψόφος : ψόφος
ψύξας : ψύξας
ψυκτήρ : ψυκτήρ
ψύλλα : ψύλλα
ψύλλοι : ψύλλοι
ψύξουσι : ψύξουσι
ψύτγα : ψύττα
ψυχρολογία : ψυχρολογία
ψυλκοῦμαι : ψυλκοῦμαι
ψυχαγωγεῖ : ψυχαγωγεῖ
ψύχη : ψυχή
ψυχρός : ψυχρός
ψυχικός : ψυχικός
ψυχρολόγος : ψυχρολόγος
ψωκτόν : ψωκτόν
ψωμός : ψωμός
ψωμιεῖ σε : ψωμιεῖ σε
ψώχοντες : ψώχοντες
