# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Madrid BU Complut. 116-z°-22 (30)
# dc:coverage: ff. 216-217
# dc:relation: Diktyon 30646 
# dc:description: collazionato in riproduzioni digitali; tit. del tipo ἀρχή τοῦ ... accompagnato da elementi decorativi con motivi zoomorfi; titoli ripassati in arancio-ocra; lemmi e interpretazioni disposti su un'unica colonna di scrittura in continuità, con puntini separativi ripassati in arancio-ocra

ψακάς : ψακάς
ψάλιον : ψάλιον
ψάλλειν : ψάλλειν
ψάλτιγξ : ψάλπιγξ
ψαρός : ψαρός
ψαῦσαι : ψαῦσαι
ψαφαρόν : ψαφαρόν
ψέγει : ψέγει
ψεδινός : ψεδνός
ψεδνῆδ : ψεδνή
ψαλαίσον : ψαλαίσον
ψεφαίας νυκτός : ψεφαίας νυκτός
ψεφῶν : ψεφῶν
ψεκάδων : ψεκάδων
ψελλός : ψελλός
ψεστά : ψεστά
ψευδηγόρους : ψευδηγόρους
ψευδοεπῆ : ψευδοεπῆ
ψευδ᾽ἄγγελος : ψευδ᾽ἄγγελος
ψευσάμενοι : ψευσάμενοι
ψευδῆ : ψευδῆ
ψεῦδος : ψεῦδος
ψευδομυθεῖ : ψευδομυθεῖ
ψήγματα : ψήγματα
ψῆφος : ψῆφος
ψηφισαμένων : ψηφισαμένων
ψηφίδες : ψηφίδες
ψηλοῦσα : ψηλοῦσα
ψηφοφορία : ψηφοφορία
ψήχειν : ψήχειν
ψιάδες : ψιάδες
ψιλόν : ψιλόν
ψιλοκορής : ψιλοκορής
ψογερούς : ψογερούς
ψόγον : ψόγος
ψοφοδεής : ψοφοδεής
ψόφος : ψόφος
ψύξας : ψύξας
ψυκτήρ : ψυκτήρ
ψύλλα : ψύλλα
ψύλλοι : ψύλλοι
ψύξουσι : ψύξουσι
ψύτγα : ψύττα
ψυχρολογία : ψυχρολογία
ψυλκοῦμαι : ψυλκοῦμαι
ψυχαγωγεῖ : ψυχαγωγεῖ
ψύχη : ψυχή
ψυχρός : ψυχρός
ψυχικός : ψυχικός
ψυχρολόγος : ψυχρολόγος
ψωκτόν : ψωκτόν
ψωμός : ψωμός
ψωμιεῖ σε : ψωμιεῖ
ψώχοντες : ψώχοντες
