# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Oxford, Bodleian Library, Auct.T.II.11 (Misc. 211)
# dc:coverage: ff. 222-223
# dc:relation: Diktyon ID 47159
# dc:description: collazionato in originale e in riproduzioni digitali; tit. Ἀρχὴ τοῦ ξ; rudimentali decorazioni in inizio di stoicheion; lettere incipitarie di ogni lemma in inchiostro rosso

ξανθοῖσιν : ξανθοῖσιν
ξεναγός : ξεναγός
ξεναγῆσαι : ξεναγῆσαι
ξανθῆς : ξανθῆς
ξανθὴν : ξανθήν
ξάνθου ἄπο : ξάνθου ἄπο
ξεναγωγῶν : ξεναγωγῶν
ξείνοι : ξείνοι
ξένος : ξένος
ξενίζειν : ξενίζειν
ξενών : ξενών
ξενίασα : ξενίασα
ξέσταις : ξέσταις
ξίρις : ξίρις
ξοῦθα : ξοῦθα
ξιφίρου : ξιφίρου
ξύλοχον : ξύλοχον
ξύλορον : ξύλορον
ξύμβαινε : ξύμβαινε
ξυμβεῖ : ξυμβεῖ
ξυνάορον : ξυνάορον
ξυνάγωμεν : ξυνάγωμεν
ξύνες : ξύνες
ξέω : ξέω
ξεινοδόκον : ξεινοδόκον
ξεῖνον : ξεῖνον
ξενήϊον : ξενήϊον
ξενολόγους : ξενολόγους
ξεστούς : ξεστούς
ξέστοις : ξέστοις
ξηρόν : ξηρόν
ξεῖνος : ξεῖνος
ξόανον : ξόανον
ξυλιζομένη : ξυλιζομένη
ξυμβαίνοι : ξυμβαίνοι
ξύμβληντο : ξύμβληντο
ξυμβάλλετο : ξυμβάλλετο
ξυναρμόσας : ξυναρμόσας
ξύμβλυντο : ξύμβλυντο
ξυνδῆσαι : ξυνδῆσαι
ξυναυταῖς : ξυναυταῖς
ξυνεχῶς : ξυνεχῶς
ξυνέβηκεν : ξυνέβηκεν
ξυνελαυνέμεν : ξυνελαυνέμεν
ξυνήϊα : ξυνήϊα
ξύνθημα : ξύνθημα
ξύνια : ξύνια
ξυνοχή : ξυνοχή
ξυνωρίς : ξυνωρίς
ξυνωρόν : ξυνωρόν
ξυνῶν : ξυνῶν
ξύστι : ξύστι
ξυστόν : ξυστόν
ξυστῶ δόρατι : ξυστῷ δόρατι
ξυνοφύιαν : ξυνοφύιαν
ξυνέαζεν : ξυνέαζεν
ξυνήϊον : ξυνήϊον
ξυνήεσαν : ξυνήεσαν
ξυνήεισαν : ξυνήεισαν
ξυνίον : ξυνίον
ξυνιέναι : ξυνιέναι
ξύνιστρον : ξύνιστρον
ξυνίσαν : ξυνίσαν
ξυνόν : ξυνόν
ξυνοῦ : ξυνοῦ
ξυνοίσειν : ξυνοίσειν
ξυνουσία : ξυνουσία
ξυμπονῆσαι : ξυμπονῆσαι
ξυνωρίς : ξυνωρίς
ξυστίδα : ξυστίδα
ξυστοῖσι : ξυστοῖσι
ξυσμός : ξυσμός
ξῶθεν : ξῶθεν
 
