# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Oxford, Bodleian Library, Auct.T.II.11 (Misc. 211)
# dc:coverage: ff. 310-311
# dc:relation: Diktyon ID 47159
# dc:description: collazionato in originale e in riproduzioni digitali; tit. Ἀρχὴ τοῦ ξ; rudimentali decorazioni in inizio di stoicheion; lettere incipitarie di ogni lemma in inchiostro rosso

ψακάς : ψακάς
ψαλίδες : ψαλίδες
ψάλον : ψάλον
ψάλτιγξ : ψάλτιγξ
ψαίστα : ψαίστα
ψαλίοις : ψαλίοις
ψάλλειν : ψάλλειν
ψαλτήριον : ψαλτήριον
ψαλέτρια : ψαλέτρια
ψαμάθησιν : ψαμάθησιν
ψάροις καὶ κολοί : ψάροις καὶ κολοί
ψαύει : ψαύει
ψάφαρον : ψάφαρον
ψεδνὴ δέ : ψεδνή
ψεκάδων : ψεκάδων
ψηνός : ψηνός
ψευδοσπήσωμεν : ψευδοσπήσωμεν
ψιλόν : ψιλόν
ψιλός : ψιλός
ψίνες : ψίνες
ψοφοδεῆ : ψοφοδεῆ
ψογερούς : ψογερούς
ψίων : ψίων
ψηφοφορίαν : ψηφοφορίαν
ψιθυρίζει : ψιθυρίζει
ψικτά : ψικτά
ψοφεῖ : ψοφεῖ
ψυκτήρ : ψυκτήρ
ψύλλα : ψύλλα
ψυχαγωγεῖ : ψυχαγωγεῖ
ψαμάθον : ψαμάθον
ψαμμαθηδόν : ψαμμαθηδόν
ψάροπ : ψάροπ
ψαῦον : ψαῦον
ψεδνός : ψεδνός
ψεδνὴ δνηθρίξ : ψεδνή
ψευδήγορος : ψευδήγορος
ψευδέσι : ψευδέσι
ψῆρός τε : ψῆρος
ψῆφος : ψῆφος
ψιλή : ψιλή
ψήκει : ψήκει
ψιάδας : ψιάδας
ψιλή : ψιλή
ψόγος : ψόγος
ψύξασα : ψύξασα
ψύχοντες : ψύχοντες
ψυχολκούμενοι : ψυχολκούμενοι
ψυχρολογία : ψυχρολογία
ψυχολκοῦμαι : ψυχολκοῦμαι
ψώχοντες : ψώχοντες
ψωκτόν : ψωκτόν
ψαναφανδόν : ψαναφανδόν
ψίγματα : ψίγματα


