# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Oxford, Bodleian Library, Manuscript Class. Gr. 114 
# dc:coverage: ff. 62r-62v
# dc:relation: Diktyon ID 47976
# dc:description: collazionato in originale; tit. Ἀρχὴ τοῦ ξ στοιχείου; lettere iniziali dei lemmi ripassate in arancio-ocra

ξαίνω : ξαίνω
ξανθήν : ξανθήν
ξανθίζεσθαι : ξανθίζεσθαι
ξενοσύνην : ξενοσύνην
ξεινοί : ξεινοί
ξεναγών : ξεναγών
ξεῖνον : ξεῖνον 
ξόανον : ξόανον
ξενίαν : κ ξενίαν
ξενίζουσαν : ξενίζουσαν
ξεστόν : ξεστόν 
ξιφήρεις : ξιφήρεις
ξόανον : ξόανον
ξουθός : ξουθός
ξουθά : ξουθά
ξύει : ξύει
ξυλιζομένη : ξυλιζομένη
ξύμπαντος : ξύμπαντος
ξυμβαίει : ξυμβαίει
ξύμμαχοι : ξύμμαχοι
ξυνωρίδα : ξυνωρίδα
ξανθικός : ξανθικός
ξύνιον : ξύνιεν
ξυμβαίνει : ξυμβαίνει 
ξυνθήματος : ξυνθήματος 
ξύνιον : ξύνιον 
ξύτρα : ξύτρα 
ξυνιέναι : ξυνιέναι 
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχῶς
ξυναρμώσας : ξυναρμώσας
ξυνορίδα : ξυνωρίδα
ξυμσυμφορᾶ : ξυμφορᾶ
ξυνόν : ξυνόν 
ξυστίδας : ξυστίδας 
ξυνάορον : ξυνάορον 
ξυμπονῆσαι : ξυμπονῆσαι
ξύνια : ξύνια
ξυνθήματος : σ ξυνθήματος
ξυνῶν : ξυνῶν 
ξυνούσιον : ξυνούσιον 
ξύνες : ξύνες
ξύνωδα : ξύνωδα 
ξυσμός : ξυσμός 
ξύνθακος : ξύνθακος 
ξυνοδόκος : ξυνοδόκος 
ξυστῖδα : ξυστίδα
ξυστός : ξυστός
ξῶθεν : ξῶθεν  
