# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Oxford, Bodleian Library, Holkham gr. 112
# dc:coverage: ff. 116-116v
# dc:relation: Diktyon ID 48180
# dc:description: collazionato in originale e in riproduzioni digitali; tit. Ἀρχὴ τοῦ ψ στοιχείου; lettere incipitarie di ogni lemma in inchiostro rosso; disposizione del testo su due colonne ma lemma e interpretamentum sono disposti sulla stessa colonna 

ψακάς : ψακάς
ψάλιον : ψάλιον
ψάλτιξ : ψάλτιξ
ψάλλειν : ψάλλειν
ψαρός : ψαρός
ψαῦσαι : ψαῦσαι
ψαφαρόν : ψαφαρόν
ψέγει : ψέγει
ψεδνός : ψεδνός
ψεδνή : ψεδνή
ψεκάδων : ψεκάδων
ψεστά : ψεστά
ψελλός : ψελλός
ψευδηγόρους : ψευδηγόρους
ψευδοεπεῖ : ψευδοεπεῖ
ψευδάγγελος : ψευδάγγελος
ψευσάμενοι : ψευσάμενοι
ψευδή : ψευδή
ψεύδος : ψεύδος
ψευδομυθεῖ : ψευδομυθεῖ
ψήγματα : ψήγματα
ψῆφος : ψῆφος
ψηφησαμένων : ψηφησαμένων
ψηφίδες : ψηφίδες
ψηφοφορία : ψηφοφορία
ψίχειν : ψίχειν
ψιάδες : ψιάδες
ψιλόν : ψιλόν
ψόγος : ψόγος
ψογερούς : ψογερούς
ψογοδελής : ψογοδελής
ψόφος : ψόφος
ψυκτήρ : ψυκτήρ
ψύλλα : ψύλλα
ψύξις : ψύξις
ψύξας : ψύξας
ψυλλοί : ψυλλοί
ψεύξουσιν : ψεύξουσιν
ψυχρολογία : ψυχρολογία
ψυχολκοῦμαι : ψυχολκοῦμαι
ψυχαγωγή : ψυχαγωγή
ψυχρός : ψυχρός
ψυχικός : ψυχικός
ψυχρολόγος : ψυχρολόγος
ψωμός : ψωμός
ψωμεῖσαι : ψωμεῖσαι
ψώχοντες : ψώχοντες
ψώγος : ψώγος
ψωγήσα : ψωγήσα
ψωγερούς : ψωγερούς


