# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque Nationale de France, Supplément grec 1146
# dc:coverage: ff. 141v-142
# dc:relation: Diktyon ID 53803
# dc:description: collazionato in riproduzioni digitali; tit. in rosso del tipo ἀρχὴ τοῦ ξ στοιχείου; lemma e interpetamentum disposti di seguito ma su tre distinte colonne di scrittura, con prima lettera di ogni lemma rubricata in rosso, e l'interpretazione in inchiostro nero

ξαίνω : ξαίνω
ξανθὴν : ξανθήν
ξανθίζεσθαι : ξανθίζεσθαι
ξενοσύνην : ξενοσύνην
ξεινοὶ : ξεῖνοι
ξεναγὼν : ξεναγών
ξεῖνον : ξεῖνον
ξενίαν : ξενίαν
ξενίζουσαν : ξενίζουσαν
ξέοντας : ξέοντας
ξεστόν : ξεστόν
ξιφήρεις : ξιφήρεις
ξόαναον : ξόανον
ξουθᾶ : ξουθά
ξύει : ξύει
ξυλιζομένη : ξυλιζομένη
ξυμμαχοῖ : ξυμμαχοῖ
ξυνωρίς : ξυνωρίς
ξυμβαίει : ξυμβαίνει
ξυνθήματο : ξυνθήματος
ξύνειον : ξύνειον
ξύτρα : ξύστρα
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχῶς
ξυναρμώσας : ξυναρμώσας
ξυνωρίδα : ξυνωρίδα
ξυνωρίδα : ξυνωρίδα
ξυνῶν : ξυνῶν
ξυστίδας : ξυστίδας
ξυνόαρον : ξυνάορον
ξυμπονῆσαι : ξυμπονῆσαι
ξύνια : ξύνια
ξύνες : ξύνες
ξυνθήματος : ξυνθήματος
ξυνώδα : ξυνώδα
ξύνθακος : ξύνθακος
ξύνοδοκός : ξυνοδόκος
ξυστίδα : ξυστίδα
ξυστός : ξυστός
ξυσμός : ξυσμός
ξώθεν : ξῶθεν
  

 


