# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque Nationale de France, Supplément grec 1195
# dc:coverage: ff. 74v-75r
# dc:relation: Diktyon ID 53873
# dc:description: collazionato in riproduzioni digitali; tit. in rosso del tipo ἀρχὴ τοῦ ξ στοιχείου; lemma e interpetamentum disposti di seguito ma su tre distinte colonne di scrittura, con prima lettera di ogni lemma rubricata in rosso, e l'interpretazione in inchiostro nero

ψάλιον : ψάλιον
ψάμαθις : ψάμαθις
ψαύεται : ψαύεται
ψαύουσιν : ψαύουσιν
ψαρός : ψαρός
ψαφαρόν : ψαφαρόν
ψαφαρόν : ψαφαρόν
ψαφαρόν : ψαφαρόν
ψεδνή : ψεδνή
ψελλίζουσα : ψελλίζουσα
ψένει : ψένει
ψέγει : ψέγει
ψέρων : ψέρων
ψευδηγόρος : ψευδηγόρος
ψευδεπήσομεν : ψευδεπήσομεν
ψεύτης : ψεύτης
ψέρει : ψέρει
ψέρει : ψέρει
ψηλός : ψηλός
ψηλαφιστέον : ψηλαφιστέον
ψηλαφίζων : ψηλαφίζων
ψηλαφιζόμενος : ψηλαφιζόμενος
ψηνή : ψηνή
ψηττία : ψηττία
ψηφηφορία : ψηφοφορία
ψῆφος : ψῆφος
ψηλαφισθείς : ψηλαφισθείς
ψιάδες : ψιάδες
ψίαθος : ψίαθος
ψίζω : ψίζω
ψίθυρος : ψίθυρος
ψιλός : ψιλός
ψιλός : ψιλός
ψιλός : ψιλός
ψιλός : ψιλός
ψιλόν : ψιλόν
ψιλόν : ψιλόν
ψιλόν : ψιλόν
ψιλή : ψιλή
ψιλή : ψιλή
ψιλῶ : ψιλῶ
ψιλοῦντες : ψιλοῦντες
ψιλοκόρης : ψιλοκόρης
ψίσει : ψίσει
ψοφερός : ψοφερός
ψόγος : ψόγος
ψόγος : ψόγος
ψοφεῖ : ψοφεῖ
ψοφεής : ψοφεής
ψόφος : ψόφος
ψυδράκιον : ψυδράκιον
ψύδρακον : ψύδρακον
ψυκτήριον : ψυκτήριον
ψύξουσι : ψύξουσι
ψύττα : ψύττα
ψύττα : ψύττα
ψυχαγωγεῖται : ψυχαγωγεῖται
ψυχαγωγήσας : ψυχαγωγήσας
ψυχρολογίας : ψυχρολογίας
ψυχρά : ψυχρά
ψυχρότης : ψυχρότης
ψυχρότης : ψυχρότης
ψωμός : ψωμός
ψωμιεῖ : ψωμιεῖ
ψώχω : ψώχω
ψώχοντες : ψώχοντες
ψωκτός : ψωκτός
ψωρά : ψωρά
ψωρά : ψωρά
ψῶρα : ψῶρα
 
