# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque nationale de France, Grec 2617
# dc:coverage: ff. 46v
# dc:relation: Diktyon ID 52252
# dc:description: collazionato in riproduzioni digitali; tit. Ἀρχὴ τοῦ ξ; essenziali elementi decorativi affiancano la rubrica in inizio di stoicheion; disposizione del testo su quattro colonne con lemma e interpretamentum disposti su colonne affiancate 

ξαίνων : ξαίνω
ξανθὴν : ξανθὴν
ξανθοῖσιν : ξανθοῖσιν
ξανθίζεσθαι : ξανθίζεσθαι
ξεῖνοι : ξεῖνοι
ξεῖνον : ξεῖνον
ξεναγών : ξεναγών
ξεναγῆσαι : ξεναγῆσαι
ξενάλογος : ξενάλογος
ξενίον : ξενίον
ξενίζει : ξενίζει
ξενίζεται : ξενίζεται
ξενιάζουσιν : ξενιάζουσιν
ξέστον : ξέστον
ξεστοῖο : ξεστοῖο
ξιφήρεις : ξιφήρεις
ξιφήρους : ξιφήρους
ξόανον : ξόανον
ξύει : ξύει
ξυλιζομένη : ξυλιζομένη
ξυμβαίνει : ξυμβαίνει
ξύμμαχοι : ξύμμαχοι
ξυνωρίδα : ξυνωρίδα
ξυνϊέναι : ξυνϊέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχῶς
ξυναρμώσας : ξυναρμώσας
ξουθός : ξουθός
ξουθά : ξουθά
ξυνωρίς : ξυνορίς
ξυνῶν : ξυνῶν
ξυμβέν : ξυμβέν
ξυνάορον : ξυνάορον
ξυμπονῆσαι : ξυμπονῆσαι
ξυνήϊα : ξυνήϊα
ξύνες : ξύνες
ξυνθήματος : ξυνθήματος
ξυνοδά : ξυνοδά
ξύνθακος : ξύνθακος
ξυνοθόκος : ξυνοθόκος
ξυστόν : ξυστόν
ξυστίδα : ξυστίδα
ξυστίδας : ξυστίδας
ξυσμός : ξυσμός
ξώθεν : ξώθεν
