# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque nationale de France, Grec 2617
# dc:coverage: ff. 66v-67
# dc:relation: Diktyon ID 51345
# dc:description: collazionato in riproduzioni digitali; tit. Ἀρχὴ τοῦ ξ; essenziali elementi decorativi affiancano la rubrica in inizio di stoicheion; disposizione del testo su quattro colonne con lemma e interpretamentum disposti su colonne affiancate 

ψακάς : ψακάς
ψαλίον : ψαλίον
ψάλπιγξ : ψάλπιξ
ψαρός : ψαρός
ψαίστα : ψαίστα
ψαῦσαι : ψαῦσαι
ψαφαρός : ψαφαρός
ψεῦδος : ψεῦδος
ψέγει : ψέγει
ψεδνός : ψεδνός
ψευδηγόρους : ψευδηγόρους
ψευδοεπεῖ : ψευδοεπεῖ
ψευδομυθεῖ : ψευδομυθεῖ
ψήγματα : ψήγματα
ψῆφος : ψῆφος
ψηφίδες : ψηφίδες
ψήνες : ψήνες
ψηφοφορία : ψηφοφορία
ψήχειν : ψήχειν
ψῆφος : ψῆφος
ψιαίδας : ψιαίδας
ψιλόν : ψιλόν
ψιλοκόρης : ψιλοκόρης
ψιθυρίζει : ψιθυρίζει
ψιλὸν ἄνθρωπον : ψιλὸν ἄνθρωπον
ψιλτά : ψιλτά
ψιλός : ψιλός
ψόγον : ψόγον
ψογέρους : ψογέρους
ψόφος : ψόφος
ψοφοδεῆς : ψοφοδεής
ψυκτήρ : ψυκτήρ
ψύλλα : ψύλλα
ψυχοῦσι : ψυχοῦσι
ψυχικός : ψυχικός
ψύττα : ψύττα
ψυχρολογία : ψυχρολογία
ψυχρός : ψυχρός
ψυχουλκοῦμαι : ψυχουλκοῦμαι
ψυχαγωγή : ψυχαγωγή
ψύξας : ψύξας
ψύξουσι : ψύξουσι
ψυχικός : ψυχικός
ψυχρολόγος : ψυχρολόγος
ψώκτον : ψώκτον
ψωμιεῖσαι : ψωμιεῖσαι
ψώχοντες : ψώχοντες
ψάλλειν : ψάλλειν
ψεδνεπενήνοσε : ψεδνεπενήνοσε
ψεκάδων : ψεκάδων
ψελλός : ψελλός
ψευδάγγελος : ψευδάγγελος
ψευσάμενοι : ψευσάμενοι
ψευδῆ : ψευδῆ
ψηφησαμένων : ψηφησαμένων

