# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque nationale de France, Grec 2655
# dc:coverage: ff. 137v-138
# dc:relation: Diktyon ID 52290
# dc:description: collazionato in riproduzioni digitali; tit. Ἀρχὴ τοῦ ξ στοιχείου; disposizione del testo su due colonne con lemma e interpretamentum su ciascuna colonna; sono occasionalmente annotate in margine note che indicano alfabetizzazione del tipo τὸ ξ μετὰ τοῦ α. 

ξανθός : ξανθός
ξάνθος : ξάνθος
ξανθίκομος : ξανθίκομος
ξαίνων : ξαίνων
ξανθίζεσθαι : ξανθίζεσθαι
ξεινοδόκος : ξενοδόκος
ξείνος : ξείνος
ξένος : ξένος
ξένιος ζεύς : ξένιος Ζεύς
ξενών : ξενών
ξενία : ξενία
ξεστή : ξεστή
ξεστόν : ξεστόν
ξεινήϊον : ξεινήϊον
ξεναγεῖται : ξεναγεῖται
ξεναγίζω : ξεναγίζω
ξεναγῶ : ξεναγῶ
ξενιτεύω : ξενιτεύω
ξηνός : ξηνός
ξηρός ὑδρῶς : ξηρός ὑδρῶς
ξηρίον : ξηρίον
ξηραλοιφεῖν : ξηραλοιφεῖν
ξηραίνω : ξηραίνω
ξιφήρης : ξιφήρης
ξίρυς : ξίρυς
ξιφήν : ξιφήν
ξιφηφόρος : ξιφηφόρος
ξιφίας : ξιφίας
ξιφιλῖνος : ξιφιλῖνος
ξιφῖνος : ξιφῖνος
ξουθός : ξουθός
ξόϊς καὶ ξοῖσδος : ξόϊς καὶ ξοῖσδος
ξοῦϊς : ξοῦϊς
ξουφηρία : ξουφηρία
ξόανον : ξόανον
ξυστός : ξυστός
ξυσμός : ξυσμός
ξύμμαχοι : ξύμμαχοι
ξύλοχος : ξύλοχος
ξυνός : ξυνός
ξυνωμότης : ξυνωμότης
ξυρός : ξυρός
ξυνωρίς : ξυνωρίς
ξυνουσία : ξυνουσία
ξυνόαρος : ξυνόαρος
ξυσίστα : ξυσίστα
ξυνωμοσία : ξυνωμοσία
ξύλεια : ξύλεια
ξυνήϊα : ξυνήϊα
ξυνωδὰ : ξυνωδά
ξύστον : ξύστον
ξύνθημα : ξύνθημα
ξυλήφιον : ξυλήφιον
ξυνόν : ξυνόν
ξύλον : ξύλον
ξυμβαίη : ξυμβαίη
ξυνιέναι : ξυνιέναι
ξυνών : ξυνών
ξύνες : ξύνες
ξυμπονῆσαι : ξυμπονῆσαι
ξύει : ξύει
ξύμβλητον : ξύμβλητον
ξύνιον : ξύνιον
ξυνίασι : ξυνίασι
ξυνίεις : ξυνίεις
ξυνέηκε : ξυνέηκε
ξυνεχῶς : ξυνεχῶς
ξῶθεν : ξῶθεν
