# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque nationale de France, Grec 2655
# dc:coverage: ff. 137v-138
# dc:relation: Diktyon ID 52290
# dc:description: collazionato in riproduzioni digitali; tit. Ἀρχὴ τοῦ ψ στοιχείου; disposizione del testo su due colonne con lemma e interpretamentum su ciascuna colonna; sono occasionalmente annotate in margine note che indicano alfabetizzazione del tipo τὸ ψ μετὰ τοῦ α. 


ψάρος : ψάρος
ψαρός : ψαρός
ψαρώτατος : ψαρώτατος
ψαλμός : ψαλμός
ψαφαρός : ψαφαρός
ψαφαρῆς : ψαφαρής
ψακάς : ψακάς
ψάμμθος : ψάμμος
ψαλτήριον : ψαλτήριον
ψαίκαλον : ψαίκαλον
ψαίκαρον : ψαίκαρον
ψαλτήριον νοητόν : ψαλτήριον νοητόν
ψαῦσαι : ψαῦσαι
ψᾶν : ψᾶν
ψαλάξεις : ψαλάξεις
ψακάζει : ψακάζει
ψαίρειν : ψαίρειν
ψεδνός : ψεδνός
ψευδηγόρος : ψευδηγόρος
ψεφηνὸς ἀνήρ : ψεφηνὸς ἀνήρ
ψευδηγορία : ψευδηγορία
ψελλός : ψελλός
ψεκάς : ψεκάς
ψεῦδος : ψεῦδος
ψέλλιον : ψέλλιον
ψέφος : ψέφος
ψέγει : ψέγει
ψελλίζει : ψελλίζει
ψεκάζω : ψεκάζω
ψηνός : ψηνός
ψῆνες : ψῆνες
ψῆφος : ψῆφος
ψηφάδες : ψηφάδες
ψηλαφία : ψηλαφία
ψηφηφορία : ψηφηφορία
ψήγματα : ψήγματα
ψησίον : ψησίον
ψήχειν : ψήχειν
ψήλαι : ψήλαι
ψηνίζω : ψηνίζω
ψηνύξαι : ψηνύξαι
ψιλότατος : ψιλότατος
ψιλός : ψιλός
ψιθυρισμός : ψιθυρισμός
ψιττακός : ψιττακός
ψιάς : ψιάς
ψίξ : ψίξ
ψιττάκια : ψιττάκια
ψικίον : ψικίον
ψινύθιον : ψινύθιον
ψίω : ψίω
ψίσω : ψίσω
ψοφοδεής : ψοφοδεής
ψοίθης : ψοίθης
ψοῖθος : ψοῖθος
ψολόεις : ψολόεις
