# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque Nationale de France, grec 2656
# dc:coverage: ff. 102v-103v
# dc:relation: Diktyon ID 52291
# dc:description: collazionato in originale e in riproduzioni digitali; tit. Ἀρχὴ τῆς ξ; fascette decorative; testo su due colonne


ξαίνω : ξαίνω
ξανθὴν : ξανθήν
ξανθίζεσθαι : ξανθίζεσθαι
ξενοσύνην : ξενοσύνην
ξεῖνοι : ξεῖνοι
ξεάγων : ξεναγῶν
ξενίαν : ξενίαν
ξείνον : ξεῖνον
ξενίζουσα : ξενίζουσα
ξεστὶν : ξεστόν
ξιφείρει : ξιφήρης 
ξοάνον : ξόανον
ξουθὸς : ξουθός
ξουθᾶ : ξουθά
ξύει : ξύει
ξύμπαντος : ξύμπαντος
ξυλιζομένη : ξυλιζομένη
ξυμβαίη : ξυμβαίη
ξύμμαχοι : ξύμμαχοι
ξυνωρίδα : ξυνωρίδα
ξανθικὸς : ξανθικός
ξύνιον: ξύνιεν
ξυμβαίνει : ξυμβαίνει
ξύνιον : ξύνιον
ξυνθήματος : ξυνθήματος
ξύτρα : ξύτρα
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχῶς
ξυναρμώσας : ξυναρμώσας
ξυνωρίδα : ξυνωρίδα
ξυνωρὶς : ξυνωρίς
ξυνῶν : ξυνῶν
ξυστίδας : ξυστίδας
ξυνάωρον : ξυνάορον
ξυμπονῆσαι : ξυμπονῆσαι
ξύνια : ξύνια
ξυνθήματος : ξυνθήματος
ξυνώδα : ξυνώδα
ξύνθακος : ξύνθακος
ξυνοδόκος : ξυνοδόκος
ξύστιδα : ξύστιδα
ξυστὸς : ξυστός
ξυσμὸς : ξυσμός
ξωθὲν : ξώθεν


