# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque Nationale de France, grec 2659
# dc:coverage: ff. 102v-103v
# dc:relation: Diktyon ID 52294
# dc:description: collazionato in originale e in riproduzioni digitali; tit. Ἀρχὴ τοῦ ξ στοιχείου; fascette decorative; testo su due colonne


ξαίνω : ξαίνω
ξανθὴν : ξανθήν
ξανθήζεσθαι : ξανθίζεσθαι
ξενοσύνην : ξενοσύν 
ξείνοι : ξεῖνοι
ξεάγων : ξεναγῶν
ξενίζουσα : ξενίζουσα
ξενίαν : ξενίαν
ξεστὸν : ξεστόν
ξείνον : ξεῖνον
ξιφείρεις : ξιφήρεις
ξοάνον : ξόανον
ξανθὸς : ξανθός
ξουθᾶ : ξουθά
ξύει : ξύει
ξύμπαντος : ξύμπαντος
ξυλιζομένη : ξυλιζομένη
ξυμβαίη : ξυμβαίη
ξύμμαχοι : ξύμμαχοι
ξυνωρίδα : ξυνωρίδα
ξανθικὸς : ξανθικός
ξύνιον: ξύνιεν
ξυμβαίνει : ξυμβαίνει
ξυνθήματος : ξυνθήματος
ξύνιον : ξύνιον
ξύτρα : ξύτρα
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχῶς
ξυναρμώσας : ξυναρμώσας
ξυνωρίδα : ξυνωρίδα
ξυνωρὶς : ξυνωρίς
ξυνῶν : ξυνῶν
ξυστίδας : ξυστίδας
ξυνάορον : ξυνάορον
ξυμπονῆσαι : ξυμπονῆσαι
ξύνια : ξύνια
ξυνθήματος : ξυνθήματος
ξύνθακος : ξύνθακος
ξύνωδα : ξύνωδα
ξυνοδόκος : ξυνοδόκος
ξύστιδα : ξύστιδα
ξυσμὸς : ξυσμός
ξυστὸς : ξυστός
ξυνωμοσία : ξυνωμοσία
ξωθέν : ξώθεν


