# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque Nationale de France, grec 2661
# dc:coverage: ff. 118v-119r
# dc:relation: Diktyon ID 52296
# dc:description: collazionato in riproduzioni digitali; tit. del tipo στοιχείον ξ μετὰ τὸ α; assenza di elementi decorativi in inizio di stoicheion; testo continuo su un'unica colonna; sono in inchiostro rosso le lettere iniziali di ciascun lemma

ψεκάς : ψεκάς
ψαλΐον : ψαλίον
ψάλτιγξ : ψάλτιγξ
ψάλλειν : ψάλλειν
ψαρὸς : ψαρός
ψαῦσαι : ψαῦσαι
ψαφαρόν : ψαφαρόν
ψέγει : ψέγει
ψεδνός : ψεδνός
ψεκάδων : ψεκάδων
ψελλὸς : ψελλός
ψεστὰ : ψεστά
ψευδηγόρους : ψευδηγόρους
ψευδοεπεῖ : ψευδοεπεί
ψευδάγγελος : ψευδάγγελος
ψευσάμενοι : ψευσάμενοι
ψευδῆ : ψευδῆ
ψεῦδος : ψεῦδος
ψευδομυθεῖ : ψευδομυθεῖ
ψήγματα : ψήγματα
ψῆφος : ψῆφος
ψηφϊσαμένων : ψηφισαμένων
ψηφΐδες : ψηφίδες
ψηφοφορΐα : ψηφοφορία
ψήχειν : ψήχειν
ψϊάδας : ψιάδας
ψϊλὸν : ψιλόν
ψϊκόρης : ψικόρης
ψϊττᾶ : ψιττά
ψιιλὸν ἄνθρωπον : ψιλὸν ἄνθρωπον
ψόγον : ψόγον
ψογροὺς : ψογρούς
ψοίθης : ψοίθης
ψόφος : ψόφος
ψοφοδεής : ψοφοδεής
ψϋκτὴρ : ψυκτήρ
ψΰλλα : ψύλλα
ψΰξας : ψύξας
ψΰξουσϊν : ψύξουσιν
ψϋττᾶν : ψυττᾶν
ψϋχρολογΐα : ψυχρολογία
ψῦχανοῦμαι : ψυχαγοῦμαι
ψϋχαγωγεῖ : ψυχαγωγεῖ
ψϋχρὸς : ψυχρός
ψϋχικὸς : ψυχικός
ψϋχρολόγος : ψυχρολόγος
ψωκτὸν : ψωκτόν
ψωμϊεῖ σε : ψωμιεῖ
ψώφοντες : ψώφοντες



