# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque Nationale de France, grec 2664A
# dc:coverage: ff. 77v-78v
# dc:relation: Diktyon ID 52300
# dc:description: collazionato in riproduzioni in autopsia; fascette decorative in inizio di stoicheion; titoli del tipo τέλος τοῦ ν, ἀρχή τοῦ ξ; lemma e interpetamentum disposti su due colonne affiancate; la prima lettera di ogni lemma è vergata con inchiostro più chiaro rispetto a quello del corpo del testo; N.B. il codice è mutilo sia al principio che alla fine, contiene porzioni di testo relativo ai soli stoicheia da delta a sigma


ξαίνω : ξαίνω
ξανθὴν : ξανθήν
ξενωσύνην : ξενοσύνην
ξαίνω : ξαίνω
ξείνοι : ξεῖνοι
ξεναγὼν : ξεναγών
ξείνον : ξεῖνον
ξανθοῖσιν : ξανθοῖσιν
ξεναγῆσαι : ξεναγῆσαι
ξενάλογος : ξενάλογος
ξενίαν : ξενίαν
ξενίζει : ξενίζει
ξενίζεται : ξενίζεται
ξενίζουσαν : ξενίζουσαν
ξεστὸν : ξεστόν
ξέστοιο : ξέστοιο
ξεναγωγήσας : ξεναγωγήσας
ξενίζειν : ξενίζειν
ξενάγει : ξενάγει
ξεναγὸς : ξεναγός
ξηφηρεῖς : ξιφηρεῖς
ξηρὰν λοιφὴν : ξηρὰν λοιφήν
ξόανον : ξόανον
ξουθός : ξουθός
ξουθάς : ξουθάς
ξύει : ξύει
ξυλιζομένη : ξυλιζομένη
ξυμβαίνει : ξυμβαίνει
ξύμμαχοι : ξύμμαχοι
ξυνωρίδα : ξυνωρίδα
ξὺν αὐτοῖς : ξὺν αὐτοῖς
ξυνθήματος : ξυνθήματος
ξυνήϊον : ξυνήϊον
ξΰνορον : ξύνορον
ξυνιέναι : ξυνιέναι
ξυνεχῶς : ξυνεχῶς
ξυναρμώσας : ξυναρμώσας
ξυναίρεται : ξυναίρεται
ξυνουσΐα : ξυνουσία
ξυνῶν : ξυνῶν
ξΰμβενε : ξύμβενε
ξυνένες : ξυνένες
ξυνωρίς : ξυνωρίς
ξυνίει : ξυνίει
ξυνάορον : ξυνάορον
ξυστίδας : ξυστίδας
ξυστάρχων : ξυστάρχων
ξυμπονῆσαι : ξυμπονῆσαι
ξυνήϊα : ξυνήϊα
ξυνθήματος : ξυνθήματος
ξυνωδὰ : ξυνωδά
ξύνθακος : ξύνθακος
ξυνοθόκος : ξυνοθόκος
ξυστίδα : ξυστίδα
ξυστὸς : ξυστός
ξυστίδας : ξυστίδας
ξυσμὸς : ξυσμός
ξυμβαίνει : ξυμβαίνει
ξύλον ἄβον : ξύλον ἄβον
ξύστρα : ξύστρα
ξυναρμώσας : ξυναρμώσας
ξυνωρίδας : ξυνωρίδας
ξυνολόγος : ξυνολόγος
ξυνερὸν : ξυνερόν
ξώθεν : ξώθεν
  

 


