# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque Nationale de France, grec 2672
# dc:coverage: ff. 143v-144
# dc:relation: Diktyon ID 52308
# dc:description: collazionato in riproduzioni digitali; fascette ornamentali in principio di stoicheion; tit. del tipo ἀρχὴ τοῦ ξ στοιχείου; in lemma e interpetamentum disposti di seguito in due colonne di scrittura, con prima lettera del lemma rubricata in rosso, e l'interpretazione in inchiostro nero


ψακὰς : ψακάς
ψάλϊον : ψάλιον
ψάλτϊγξ : ψάλτιγξ
ψαῦσαι : ψαῦσαι
ψαρὸς : ψαρός
ψαφαρὸν : ψαφαρόν
ψαλτίριον : ψαλτήριον
ψέγει : ψέγει
ψεδνόν : ψεδνόν
ψεδνὴ δ᾽ἐπενήνοθεν : ψεδνὴ δ᾽ ἐπενήνοθεν
ψευτὰ : ψευτά
ψευδοπεῖ : ψευδοποιεῖ
ψεῦδος : ψεῦδος
ψευδομϋθεῖ : ψευδομυθεῖ
ψεῦδος : ψεῦδος
ψήγματα : ψήγματα
ψῆφος : ψῆφος
ψηφΐδες : ψηφίδες
ψηφοφορΐα : ψηφοφορία
ψήγειν : ψήγειν
ψϊάδας : ψιάδας
ψϊλὸν : ψιλόν
ψογεροὺς : ψογερούς
ψόφος : ψόφος
ψοφοδεὴς : ψοφοδεής
ψυκτὴν : ψυκτήν
ψΰλλα : ψύλλα
ψύξουσϊν : ψύξουσιν
ψύττα : ψύττα
ψυχρολογΐα : ψυχρολογία
ψυχούκομαι : ψυχούκομαι
ψϋχϊκὸς : ψυχικός
ψϋχαγωγεῖ : ψυχαγωγεῖ
ψυχρὸς : ψυχρός
ψυχρολόγος : ψυχρολόγος
ψωκτὸν : ψωκτόν
ψωμϊεῖ σε : ψωμιεῖ σε
ψωχόντες : ψωχόντες
ψώχοντες : ψώχοντες


