# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Praha, Knihovna Národního muzea, 1 Da 05 + X F 50	
# dc:coverage: ff. ***
# dc:relation: Diktyon 55538 
# dc:description: collazionato in riproduzioni digitali; 

ξαίνων : ξαίνω
ξανθήν : ξανθήν
ξανθίζεσθαι : ξανθίζεσθαι
ξενωσύνην : ξενωσύνην
ξεῖνοι : ξεῖνοι
ξεναγῶν : ξεναγῶν
ξείνο : ξείνον
ξενίαν : ξενίαν
ξενιαξουσαν : ξενιαζοῦσαν
ξεστόν : ξεστόν
ξηρὰν λόφαν : ξηρὰν λόφαν
ξιφήρεις : ξιφήρεις
ξόανον : ξόανον
ξουθός : ξουθός
ξουθά : ξουθά
ξύει : ξύει
ξυλιζομένη : ξυλιζομένη
ξυμβαίη : ξυμβαίη
ξύμμαχοι : ξύμμαχοι
ξυνωρίδα : ξυνωρίδα
ξυνθήματος : ξυνθήματος
ξυνήιον : ξυνήιον
ξυνωρόν : ξυνωρόν
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχῶς
ξυναρμώσας : ξυναρμώσας
ξυναίρεται : ξυναίρεται
ξυνωρίς : ξυνωρίς
ξυνῶν : ξυνῶν
ξυνάορον : ξυνάορον
ξυστίδας : ξυστίδας
ξυστάρχων : ξυστάρχων
ξυμπονῆσαι : ξυμπονῆσαι
ξυνήια : ξυνήια
ξύνες : ξύνες
ξυνθήματος : ξυνθήματος
ξυνωδά : ξυνωδά
ξύνθακος : ξύνθακος
ξυνοθόκος : ξυνοθόκος
ξυστόν : ξυστόν
ξύστρα : ξύστρα
ξυστίδα : ξυστίδα
ξυστός : ξυστός
ξυσμός : ξυσμός
ξυμβαίνει : ξυμβαίνει
ξώθεν : ξώθεν
