# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Sinai, Μονή της Αγίας Αικατερίνης, 1683	
# dc:coverage: ff. 183v-184r
# dc:relation: Diktyon ID 60058
# dc:description: collazionato in riproduzioni digitali; tit. Ἀρχὴ τοῦ ξ στοιχείου; fascette ornamentali in inizio di stoichione; il titolo dello stoicheion e la lettera iniziale di ogni lemma sono vergati in rosso; testo su due colonne, ma lemma e interpretamentum disposti nella medesima colonna di scrittura

ξαίνω : ξαίνω
ξανθός : ξανθός
ξανθήν : ξανθήν
ξανθίζεσθαι : ξανθίζεσθαι
ξάνθοισιν : ξανθοῖσιν
ξένα : ξένα
ξέσαντες : ξέσαντες
ξενοσύνη : ξενοσύνη
ξεῖνοι : ξεῖνοι
ξένιος : ξένιος
ξενίζει : ξενίζει
ξεναγός : ξεναγός
ξεναγῆσαι : ξεναγῆσαι
ξεναγὼν : ξεναγών
ξεναλόγος : ξεναλόγος
ξεῖνος : ξεῖνος
ξενία : ξενία
ξενίζουσαν : ξενίζουσαν
ξενίζεται : ξενίζεται
ξεστόν : ξεστόν
ξεστούς : ξεστούς
ξεινοδοχῶν : ξενοδοχῶν
ξηραλείφειν : ξηραλείφειν
ξηρὰ λοιφή : ξηρὰ λοιφή
ξιφήρης : ξιφήρης
ξιφήρεις : ξιφήρεις
ξόανον : ξόανον
ξουθός : ξουθός
καὶ ξουθά : καὶ ξουθά
ξύει : ξύει
ξύλοχον : ξύλοχον
ξυλοπέδη : ξυλοπέδη
ξυλιζομένη : ξυλιζομένη
ξυμβαίῃ : ξυμβαίῃ
ξύμμαχοι : ξύμμαχοι
ξυνοῖσιν : ξυνοῖσιν
ξυνωρίδα : ξυνωρίδα
ζυγήν : ζυγήν
ξυνθήματος : ξυνθήματος
ξυνήϊον : ξυνήϊον
ξυνήεισας : ξυνήεισας
ξύνωρον : ξύνωρον
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχῶς
ξυναρμώσας : ξυναρμώσας
ξυναίρεται : ξυναίρεται
ξυνῶν : ξυνῶν
ξυνωρίς : ξυνωρίς
ξυστίδας : ξυστίδας
ξυστάρχων : ξυστάρχων
ξυνάορον : ξυνάορον
ξυροῦ ἀκμῆς : ξυροῦ ἀκμῆς
ξυρίδες : ξυρίδες
ξυμπονῆσαι : ξυμπονῆσαι
ξυνόν : ξυνόν
ξυνήϊα : ξυνήϊα
ξύνες : ξύνες
ξυνθήμαυος : ξυνθήματος
ξυνωδά : ξυνωδά
ξύνθακες : ξύνθακες
ξυστόν : ξυστόν
ξυστίδα : ξυστίδα
ξυστός : ξυστός
ξύνφορβος : ξύνφορβος
ξυσμός : ξυσμός
ξεινοθόκος : ξενοθόκος
ξυμβαίνει : ξυμβαίνει
ξυσταρχεῖς : ξυσταρχεῖς
ξύστρα : ξύστρα
ξυστίς : ξυστίς
ξυμβέβλητο : ξυμβέβλητο
ξύνευγος : ξύνευγος
ξυστῷ : ξυστῷ
ξύσματα : ξύσματα
ξύσαντι : ξύσαντι
ξῶθεν : ξῶθεν



