# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Sélestat, Bibliothèque humaniste, ms. 105
# dc:coverage: ff. 79v-80
# dc:relation: Diktyon ID 58091
# dc:description: collazionato in riproduzioni digitali e microfilm; tit. Ἀρχὴ τοῦ ψ στοιχείου; la prima lettera del primo lemma è decorata con motivi antropomorfi; testo su due colonne, ma lemma e interpretamentum sono disposti sulla medesima colonna

ψακάς : ψακάς
ψάλιον : ψάλιον
ψάλτηξ : ψάλτιγξ
ψάλλειν : ψάλλειν
ψαρός : ψαρός
ψαῦσαι : ψαῦσαι
ψαφαρὸν : ψαφαρόν
ψέγει : ψέγει
ψεδνὸς : ψεδνός
ψεδνὴ : ψεδνή
ψεκάδων : ψεκάδων
ψελλός : ψελλός
ψεστὰ : ψεστά
ψευδηγόρους : ψευδηγόρους
ψευδοεπεῖ : ψευδοεπεῖ
ψευδ᾽ἄγγελος : ψευδ᾽ἄγγελος
ψευσάμενοι : ψευσάμενοι
ψευδὴ : ψευδὴ
ψεῦδος : ψεῦδος
ψευδομυθεῖ : ψευδομυθεῖ
ψήγματα : ψήγματα
ψῆφος : ψῆφος
ψηφισαμένων : ψηφισαμένων
ψηφίδες : ψηφίδες
ψηφορία : ψηφορία
ψίχειν : ψίχειν
ψιᾶδες : ψιᾶδες
ψιλὸν : ψιλόν
ψόγας : ψόγας
ψογεροὺς : ψογερούς
ψοφοδεὴς : ψοφοδεής
ψόφος : ψόφος
ψυκτήρ : ψυκτήρ
ψύλλα : ψύλλα
ψύξας : ψύξας
ψύλλοι : ψύλλοι
ψύξουσι : ψύξουσι
ψυχρολογία : ψυχρολογία
ψυχουκοῦμα : ψυχουλκοῦμαι
ψυχαγωγεῖ : ψυχαγωγεῖ
ψυχρὸς : ψυχρός
ψυχικὸς : ψυχικός
ψυχρόλογος : ψυχρόλογος
ψωμὸς : ψωμός
ψωμιεῖσε : ψωμιεῖσε
ψώχοντες : ψώχοντες
ψώγος : ψώγος
ψωγεῖσθαι : ψωγεῖσθαι
ψωγεροὺς : ψωγερούς



