# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Uppsala, Universitetsbibliotek, Gr. 18
# dc:coverage: ff. ***
# dc:relation: Diktyon 64431 
# dc:description: collazionato in riproduzioni digitali; 

ψακάς : ψακάς
ψάλιον : ψάλιος
ψάλτιγξ : ψάλτιγξ
ψαρός : ψαρός
ψαῦσαι : ψαῦσαι
ψάμαθος : ψάμαθος
ψαρόν : ψαρός
ψαμάθου : ψάμαθος
ψαφαρόν : ψαφαρός
ψέγει : ψέγειν
ψεδνός : ψεδνός
ψελλός : ψελλός
ψεστά : ψεστός
ψεδνή : ψεδνός
ψευδηγόρους : ψευδηγόρος
ψευδομυθία : ψευδομυθία
ψευδεπεῖ : ψευδεπεῖν
ψευδ᾽ ἄγγελος : ψευδ᾽ ἄγγελος
ψευσάμενοι : ψεύσασθαι
ψευδῆ : ψευδής
ψεῦδος : ψεῦδος
ψευδομυθεῖ : ψευδομυθεῖν
ψήγματα : ψῆγμα
ψήρας : ψήρα
ψῆνες : ψήν
ψῆφος : ψῆφος
ψηφοφορία : ψηφοφορία
ψηφισαμένων : ψηφίσασθαι
ψηφίδες : ψηφίς
ψηφᾶς : ψηφή
ψήχειν : ψήχειν
ψιάδας : ψιάς
ψιλόν : ψιλός
ψιλοκόρις : ψιλοκόρις
ψιθυρίζει : ψιθυρίζειν
ψηγερούς : ψηγερός
ψόγον : ψόγος
ψολόεντα : ψολόεις
ψοφοδεής : ψοφοδεής
ψόφος : ψόφος
ψολός : ψολός
ψυκτήρ : ψυκτήρ
ψύξις : ψύξις
ψύξας : ψῦξαι
ψύλλα : ψύλλα
ψύξουσι : ψῦξαι
ψυρᾶται : ψυρᾶσθαι
ψυχαγωγεῖ : ψυχαγωγεῖν
ψύττα : ψύττα
ψυχρολογία : ψυχρολογία
ψυχικοῦ : ψυχικός
ψευδολογία : ψευδολογία
ψυχρός : ψυχρός
ψυχρολόγος : ψυχρολόγος
ψωκτόν : ψωκτός
ψωμιεῖ σε : ψωμίζειν σε
ψῶσαι : ψῶσαι
ψώχοντες : ψώχειν
ψεύδομαι σε : ψεύδεσθαι σε
