# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Utrecht, Universiteitsbibliotheek, 1.C.03 (T. 18, Omont 49)	
# dc:coverage: ff. ***
# dc:relation: Diktyon 64509 
# dc:description: collazionato in riproduzioni digitali; 

ξαίνω : ξαίνω
ξανθήν : ξανθήν
ξανθίζεσθαι : ξανθίζεσθαι
ξάνθος : ξάνθος
ξένος : ξένος
ξενοδόχος : ξενοδόχος
ξενηκούσθησαν : ξενηκούσθησαν
ξενία : ξενία
ξενοσύνην : ξενοσύνην
ξεῖνοι : ξεῖνοι
ξεῖνον : ξεῖνον
ξεστόν : ξεστόν
ξεναγῶν : ξεναγῶν
ξενία : ξενία
ξενίζουσαν : ξενίζουσαν
ξιφήρεις : ξιφήρεις
ξιφίσματα : ξιφίσματα
ξηνός : ξηνός
ξόανον : ξόανον
ξύει : ξύει
ξουθός : ξουθός
ξουθά : ξουθά
ξύμπαντος : ξύμπαντος
ξυμβαίει : ξυμβαίει
ξυλιζομένη : ξυλιζομένη
ξύμμαχοι : ξύμμαχοι
ξυνωρίδα : ξυνωρίδα
ξύνιον : ξύνιον
ξυμβαίνει : ξυμβαίνει
ξύλον : ξύλον
ξύγκλυδες : ξύγκλυδες
ξυνθήματος : ξυνθήματος
ξυνάρασθαι : ξυνάρασθαι
ξυνίστωρ : ξυνίστωρ
ξύσαι : ξύσαι
ξύνιον : ξύνιον
ξύτρα : ξύτρα
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχῶς
ξυναρμώσας : ξυναρμώσας
ξυνωρίδα : ξυνωρίδα
ξυνῶν : ξυνῶν
ξυστίδας : ξυστίδας
ξυνάορον : ξυνάορον
ξυμπονῆσαι : ξυμπονῆσαι
ξυνθήματος : ξυνθήματος
ξύνωδα : ξύνωδα
ξύνθακος : ξύνθακος
ξυνοδόχος : ξυνοδόχος
ξυστίδα : ξυστίδα
ξυσμός : ξυσμός
ξυστός : ξυστός
ξυνωμασία : ξυνωμασία
ξῶθεν : ξῶθεν
