# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Zavorda, Μονή Νικάνορος 95
# dc:coverage: ff. ***
# dc:relation: Diktyon 72377 
# dc:description: collazionato in riproduzioni digitali; 

ξαίνων : ξαίνων
ξεναγεῖν : ξεναγεῖν
ξανθόν : ξανθόν
ξεναγῶν : ξεναγῶν
ξυνεστίζει : ξυνεστίζει
ξυνωρίς : ξυνωρίς
ξυλιζομένη : ξυλιζομένη
ξυνεχῶς : ξυνεχῶς
ξόανον : ξόανον
ξυναίρεται : ξυναίρεται
ξυνόν : ξυνόν
ξυνπονεῖ : ξυμπονεῖ
ξυναρμώσας : ξυναρμώσας
ξυνάορον : ξυνάορον
ξυστίδας : ξυστίδας
ξυνωρίδας : ξυνωρίδας
ξυνιέναι : ξυνιέναι
ξυναιρεῖν : ξυναιρεῖν
ξῶ : ξῶ
