# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Zavorda, Μονή Νικάνορος 95
# dc:coverage: ff. ***
# dc:relation: Diktyon 72377 
# dc:description: collazionato in riproduzioni digitali; 

ψαθαρόν : ψαθαρόν
ψαύουσα : ψαύουσα
ψάλλος : ψάλλος
ψευδομαθία : ψευδομαθία
ψήφος : ψῆφος
ψηρούς : ψαρούς
ψοφοδεής : ψοφοδεής
ψῖνξ : ψίγξ
ψέλλια : ψέλλια
ψόγος : ψόγος
ψώχοντες : ψώχοντες
ψυδνός : ψυδνός
ψυσσά : ψυσσά
ψάλον : ψάλον
ψαλίοις : ψαλίοις
ψωραλαία : ψωραλαία
ψευδηγορίας : ψευδηγορίας
ψιλόν : ψιλόν
ψόα : ψόα
ψαιστά : ψαιστά
ψιάδας : ψιάδας
ψαχνάτος : ψαχνάτος
ψάλλειν : ψάλλειν
ψυχουλκούμενος : ψυχολκούμενος
ψυκτήρ : ψυκτήρ
