# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Athos, Μονή Ξενοφώντος Mss. 083 (Lambros 785)
# dc:coverage: ff. 113v-114
# dc:relation: Diktyon ID 30372
# dc:description: collazionato  in riproduzioni digitali; tit. τὸ ξ; rudimentali decorazioni; lettere iniziali di ogni lemma ripassate in rosso

ξαίνω : ξαίνειν
ξανθήν : ξανθός
ξανθίζεσθαι : ξανθίζεσθαι
ξάνθος : ξάνθος
ξένος : ξένος
ξενοδόχος : ξενοδόχος
ξενηκούσθησαν : ξενηκουσθῆναι
ξενία : ξενία
ξενοσύνην : ξενοσύνη
ξείνοι : ξεῖνος
ξεῖνον : ξεῖνος
ξεστόν : ξεστός
ξενάγων : ξεναγεῖν
ξενίαν : ξενία
ξενίζουσαν : ξενίζειν
ξιφήρεις : ξιφήρης
ξιφίσματα : ξίφισμα
ξηνός : ξηνός
ξόανον : ξόανον
ξουθός : ξοῦθος
ξουθά : ξοῦθος
ξίφει : ξίφος
ξυμβαίει : ξυμβαίνειν
ξύμπαντος : ξύμπας
ξυλιζομένη : ξυλίζειν
ξύμμαχοι : ξύμμαχος
ξυνωρίδα : ξυνωρίς
ξανθικός : ξανθικός
ξύνιον : ξύνιον
ξυμβαίνει : ξυμβαίνειν
ξύλον : ξύλον
ξύκλυδες : ξύκλυς
ξυνθήματος : ξυνθήμα
ξυνάρασθαι : ξυνάρασθαι
ξυνίστωρ : ξυνίστωρ
ξυνωρίς : ξυνωρίς
ξῦσαι : ξῦσαι
ξύνιον : ξύνιον
ξύστρα : ξύστρα
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμῶσαι
ξυνωρίδα : ξυνωρίς
ξυνῶν : ξυνών
ξυστίδας : ξυστίς
ξυνάορον : ξυνάορος
ξυμπονῆσαι : ξυμπονῆσαι
ξύνια : ξύνιον
ξυνθήματος : ξυνθήμα
ξύνωδα : ξύνωδα
ξύνθακος : ξύνθακος
ξυνοδόκος : ξυνοδόκος
ξυστίδα : ξυστίς
ξυσμός : ξυσμός
ξυστός : ξυστός
ξυνωμοσία : ξυνωμοσία
ξωθέν : ξωθέν
