# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Bremen, Staats- und Universitätsbibliothek, C 11
# dc:coverage: ff. ***
# dc:relation: Diktyon 9820 
# dc:description: collazionato in riproduzioni digitali; 

ξαίνω : ξαίνειν
ξενηλατοῦντες : ξενηλατεῖν
ξανθήν : ξανθός
ξανθοῖσιν : ξανθός
ξεῖνοι : ξεῖνος
ξεῖνε : ξεῖνος
ξεναγῶν : ξεναγεῖν
ξεναγῆσαι : ξεναγῆσαι
ξενάλογος : ξενάλογος
ξενίαν : ξενία
ξενίζει : ξενίζειν
ξενίζεται : ξενίζεσθαι
ξενίζουσαν : ξενίζειν
ξεστόν : ξεστός
ξιφήρεις : ξιφήρης
ξόανον : ξόανον
ξουθός : ξουθός
ξύει : ξύειν
ξυλιζομένη : ξυλίζειν
ξυνωρίδα : ξυνωρίς
ξυνιέναι : ξυνιέναι
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμῶσαι
ξυνωρίς : ξυνωρίς
ξυνάορον : ξυνάορος
ξύνες : ξύνες
ξυνθήματος : ξυνθήμα
ξυνωδά : ξυνωδός
ξύνθακος : ξύνθακος
ξυνοθόκος : ξυνοδόκος
ξυστόν : ξυστός
ξυστίδα : ξυστίς
ξυσμός : ξυσμός
ξῶθεν : ξῶθεν

ξηρίον : ξηρίον
ξυναγεῖραι : ξυναγεῖραι
ξυνέηκε : ξυνιέναι
ξυνήϊα : ξυνήϊον
ξηρίον : ξηρίον
ξυροῦ ἀκμῆς : ξυρός
ξενηγορίας : ξενηγορία
ξένισα : ξενίσαι
ξεινοδόχον : ξενοδόχος
ξυνδῆσαι : ξυνδῆσαι
ξενοσύνην : ξενοσύνη
ξυνομαρτεῖ : ξυνομαρτεῖν
ξυμβαίη : ξυμβαίνειν
ξυνέβαλλεν : ξυνβαλεῖν
ξαινόμενος : ξαίνεσθαι
ξύνος : ξύνος
