# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Bremen, Staats- und Universitätsbibliothek, C 11
# dc:coverage: ff. ***
# dc:relation: Diktyon 9820 
# dc:description: collazionato in riproduzioni digitali;

ψακάς : ψακάς
ψάλιον : ψάλιος
ψάλτιξ : ψάλτιξ
ψαρός : ψαρός
ψαῦσαι : ψαῦσαι
ψαφαρόν : ψαφαρός
ψέγει : ψέγειν
ψευδηγόρους : ψευδηγόρος
ψευδοεπεῖ : ψευδοεπεῖν
ψεύδος : ψεῦδος
ψεθομυθεῖ : ψευδομυθεῖν
ψήγματα : ψήγμα
ψῆφος : ψῆφος
ψηφίδες : ψηφίς
ψηφηφορία : ψηφοφορία
ψήχειν : ψήχειν
ψιάδας : ψιάς
ψιλόν : ψιλός
ψιλοκορής : ψιλοκορής
ψογερούς : ψογερός
ψόφος : ψόφος
ψοφοδεής : ψοφοδεής
ψαμάθοις : ψάμαθος
ψυκτήρ : ψυκτήρ
ψύχουσι : ψύχειν
ψυχρολογία : ψυχρολογία
ψυχρολογεῖ : ψυχρολογεῖν
ψυκούλκομαι : ψυχολκεῖσθαι
ψυχαγωγεῖ : ψυχαγωγεῖν
ψυχρός : ψυχρός
ψῶκτον : ψωκτός
ψωμιεῖσαι : ψωμίζεισθαι
ψώψοντες : ψώχειν

ψεδνός : ψεδνός
ψελλός : ψελλός
ψίλη καὶ ψίλια καὶ ψέλια : ψίλη
ψίθυρ : ψίθυρος
ψιτακός : ψιττακός
ψειμάζειν : ψειμάζειν
ψύγεια : ψύγιον
ψεστά : ψεστός
ψῆνες : ψήν
ψαλτωδός : ψαλτωδός
ψηλαφῶ : ψηλαφᾶν
ψιθυρίζει : ψιθυρίζειν
ψυχικός : ψυχικός
ψύτγα : ψύττα
ψόθον : ψόθος
ψευδογραφημάτων : ψευδογράφημα
ψευδεπιπλάστοραψωδηματογράφος : ψευδεπιπλάστοραψωδηματογράφος
ψόγος : ψόγος
ψωράλεος : ψωράλεος
ψωρούς : ψωρός
ψεχμός : ψεχμός
ψῆρες : ψήρ
