# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Copenhagen, Det Kongelige Bibliotek, GKS 1968 4°
# dc:coverage: ff. ***
# dc:relation: Diktyon 37193 
# dc:description: collazionato in riproduzioni digitali; 

ξαίνω : ξαίνειν
ξανθήν : ξανθός
ξανθίζεσθαι : ξανθίζεσθαι
ξείνοι : ξεῖνος
ξενάγων : ξεναγεῖν
ξείνον : ξεῖνος
ξενίαν : ξενία
ξενίζουσιν : ξενίζειν
ξεστόν : ξεστός
ξέσας : ξέσαι
ξηφερεῖς : ξιφηρής
ξόανον : ξόανον
ξούθος : ξοῦθος
ξύει : ξύειν
ξυλιζομένη : ξυλίζειν
ξυμβαίνει : ξυμβαίνειν
ξυμβαίοι : ξυμβαίνειν
ξύμμαχοι : ξύμμαχος
ξυνωρίδα : ξυνωρίς
ξύνιον : ξύνιον
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυστίδας : ξυστίς
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμῶσαι
ξύστρα : ξύστρα
ξυνωρίς : ξυνωρίς
ξυνῶν : ξυνών
ξυναχοῖτο : ξυναχεῖσθαι
ξυνάορον : ξυνάορος
ξυμπονῆσαι : ξυμπονῆσαι
ξυμφορά : ξυμφορά
ξυνηΐα : ξυνήϊον
ξύνες : ξύνες
ξυνθήματος : ξυνθήμα
ξύνθακος : ξύνθακος
ξυνωδόκος : ξυνοδόκος
ξυστόν : ξυστός
ξυστίδα : ξυστίς
ξυστός : ξυστός
ξυσμός : ξυσμός
ξώθεν : ξώθεν
