# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Copenhagen, Det Kongelige Bibliotek, GKS 1968 4°
# dc:coverage: ff. ***
# dc:relation: Diktyon 37193 
# dc:description: collazionato in riproduzioni digitali; 

ψακάς : ψακάς
ψάλιον : ψάλιον
ψάλειν : ψάλλειν
ψάλτυγξ : ψάλπιγξ
ψαρός : ψαρός
ψαῦσαι : ψαῦσαι
ψαφαρόν : ψαφαρός
ψαλαύσον : ψαλαύειν
ψέγει : ψέγειν
ψεδίνος : ψεδινός
ψεδνήδ : ψεδνός
ψεφαίας νυκτός : ψεφαῖος
ψεκάδων : ψεκάς
ψελλός : ψελλός
ψετά : ψεστός
ψευδοειπεῖ : ψευδοειπεῖν
ψευδ᾽ἄγγελος : ψευδάγγελος
ψευσάμενοι : ψεύσασθαι
ψευδῆ : ψευδής
ψεῦδος : ψεῦδος
ψευδομυθεῖ : ψευδομυθεῖν
ψήγματα : ψῆγμα
ψήφος : ψῆφος
ψηφίδες : ψηφίς
ψηφισομένων : ψηφίσασθαι
ψηφορία : ψηφορία
ψιάδες : ψιάς
ψιλόν : ψιλός
ψιλοκορής : ψιλοκορής
ψογερούς : ψογερός
ψόγον : ψόγος
ψοφοδεής : ψοφοδεής
ψόφος : ψόφος
ψύξας : ψύξαι
ψυκτήρ : ψυκτήρ
ψύλλοι : ψύλλος
ψύξουσι : ψύξειν
ψύτγα : ψύττα
ψυχρολογία : ψυχρολογία
ψυχουλκούμενος : ψυχολκεῖσθαι
ψυχαγωγεῖ : ψυχαγωγεῖν
ψυχρός : ψυχρός
ψυχηκός : ψυχικός
ψυχρολόγος : ψυχρολόγος
ψωκτών : ψωκτός
ψωμιεῖ σε : ψωμίζειν σε
ψωμός : ψωμός
ψωχόντες : ψώχειν
