# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Krakow, Biblioteka Jagiellońska, Berlin, graec. 4°.69 (371)	
# dc:coverage: ff. ***
# dc:relation: Diktyon 9238 
# dc:description: collazionato in riproduzioni digitali; 

ψακάς : ψακάς
ψάλιον : ψάλιον
ψάλτιγξ : ψάλτιγξ
ψάλειν : ψάλλειν
ψαῦσαι : ψαῦσαι
ψαφαρόν : ψαφαρός
ψεκάδων : ψακάς
ψέγει : ψέγειν
ψεδνός : ψεδνός
ψελός : ψελλός
ψεστά : ψεστός
ψευδηγόρους : ψευδηγόρος
ψευδοεπεῖ : ψευδοεπεῖν
ψευδάγγελος : ψευδάγγελος
ψευδή : ψευδής
ψευσάμενοι : ψεύσασθαι
ψεῦδος : ψεῦδος
ψευδομυθεῖ : ψευδομυθεῖν
ψήγματα : ψῆγμα
ψῆφος : ψῆφος
ψηφισαμένων : ψηφίσασθαι
ψηφίδες : ψηφίς
ψήφινος : ψήφινος
ψηφοφορία : ψηφοφορία
ψίχειν : ψίχειν
ψιλόν : ψιλός
ψόγος : ψόγος
ψογεροῦς : ψογερός
ψοδεής : ψοφοδεής
ψόφος : ψόφος
ψυκτήρ : ψυκτήρ
ψυαί : ψύα
ψύλλα : ψύλλα
ψύλοι : ψύλλος
ψύξας : ψῦξαι
ψύξουσι : ψῦξαι
ψυχρολογία : ψυχρολογία
ψυχουλκοῦμαι : ψυχολκεῖσθαι
ψυχρός : ψυχρός
ψυχαγωγεῖ : ψυχαγωγεῖν
ψυχρολόγος : ψυχρολόγος
ψωμή : ψωμός
ψωμιεῖται : ψωμίζειν
ψώγοντες : ψώγειν
