# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Scattolin, Paolo
# dc:date: 2025-08-08
# dc:source: Leiden University Library, Manuscript Voss. Gr. Q° 63 (siglum Φ) 
# dc:coverage: ff. 98r-99v
# dc:relation: Diktyon ID 38170
# dc:description: this version reproduces the manuscript Voss. Gr. Q° 63 after the corrections made by the first hand.; collazionato in originale; titolo ἀρχὴ τοῦ ξ :- con spalmature gialle, talvolta ripetute nella lettera iniziale dei lemmi. A piena pagina; voci separate da :-, lemmi da stigmé

ξαίνω : ξαίνειν
ξανθήν : ξανθός
ξανθίζεσθαι : ξανθίζεσθαι
ξάνθος : ξάνθος
ξένος : ξένος
ξενόδοχος : ξενόδοχος
ξενηκουσθησαν : ξενηκουσθῆναι
ξενία : ξενία
ξενοσύνην : ξενοσύνη
ξένοι : ξένος
ξεῖνον : ξεῖνος
ξεστόν : ξεστός
ξενάγων : ξεναγεῖν
ξενίαν : ξενία
ξενίζουσαν : ξενίζειν
ξιφήρεις : ξιφήρης
ξιφίσματα : ξίφισμα
ξηνός : ξηνός
ξόανον : ξόανον
ξύφει : ξίφος
ξουθὸς : ξουθός
ξουθά : ξουθός
ξύμπαντος : ξύμπας
ξυμβαίει : ξυμβαίνειν
ξυλιζομένη : ξυλίζειν
ξύμμαχοι : ξύμμαχος
ξυνωρίδα : ξυνωρίς
ξύνιον : ξύνιος
ξυμβαίνει : ξυμβαίνειν
ξυλόν : ξύλον
ξύκλυδες : ξύκλυς
ξυνθήματος : ξύνθημα
ξυνάρασθαι : ξυναράσθαι
ξυνίστωρ : ξυνίστωρ
ξυνωρίς : ξυνωρίς
ξύσαι : ξῦσαι
ξύνιον : ξύνιος
ξύτρα : ξύτρα
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμόσαι
ξυνωρίδα : ξυνωρίς
ξυνῶν : ξυνών
ξυστίδας : ξυστίς
ξυνάορον : ξυνάορος
ξυμπονῆσαι : ξυμπονῆσαι
ξύνια : ξύνιον
ξυνθήματος : ξύνθημα
ξύνωδα : ξύνωδος
ξύνθηκος : ξύνθηκος
ξυνοδόκος : ξυνοδόκος
ξυστίδα : ξυστίς
ξυσμός : ξυσμός
ξυστός : ξυστός
ξυνωμοσία : ξυνωμοσία
ξωθέν : ξωθέν
