# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Madrid BU Complut. 116-z°-22 (30)
# dc:coverage: ff. 216-217
# dc:relation: Diktyon 40406 
# dc:description: collazionato in riproduzioni digitali; titolo assente ma lettera capita del primo lemma, del tipo ξ; lemmi e interpretazioni disposti su due distinte colonne di scrittura; non si registrano particolari elementi decorativi 

ψακάς : ψακάς
ψάλιον : ψάλιος
ψάλλειν : ψάλλειν
ψάλτιγξ : ψάλτιγξ
ψαρός : ψαρός
ψαῦσαι : ψαῦσαι
ψαφαρόν : ψαφαρός
ψέγει : ψέγειν
ψεδινός : ψεδνός
ψεδνῆδ : ψεδνή
ψαλαίσον : ψαλαίσον
ψεφαίας νυκτός : ψεφαία νύξ
ψεφῶν : ψεφᾶν
ψεκάδων : ψεκάς
ψελλός : ψελλός
ψεστά : ψεστός
ψευδηγόρους : ψευδηγόρος
ψευδοεπῆ : ψευδοεπής
ψευδ᾽ἄγγελος : ψευδάγγελος
ψευσάμενοι : ψεύσασθαι
ψευδῆ : ψευδής
ψεῦδος : ψεῦδος
ψευδομυθεῖ : ψευδομυθεῖν
ψήγματα : ψήγμα
ψῆφος : ψῆφος
ψηφισαμένων : ψηφίσασθαι
ψηφίδες : ψηφίς
ψηλοῦσα : ψηλοῦν
ψηφοφορία : ψηφοφορία
ψήχειν : ψήχειν
ψιάδες : ψιάς
ψιλόν : ψιλός
ψιλοκορής : ψιλοκορής
ψογερούς : ψογερός
ψόγον : ψόγος
ψοφοδεής : ψοφοδεής
ψόφος : ψόφος
ψύξας : ψῦξαι
ψυκτήρ : ψυκτήρ
ψύλλα : ψύλλα
ψύλλοι : ψύλλος
ψύξουσι : ψύξειν
ψύτγα : ψύττα
ψυχρολογία : ψυχρολογία
ψυλκοῦμαι : ψυλκεῖσθαι
ψυχαγωγεῖ : ψυχαγωγεῖν
ψύχη : ψυχή
ψυχρός : ψυχρός
ψυχικός : ψυχικός
ψυχρολόγος : ψυχρολόγος
ψωκτόν : ψωκτός
ψωμός : ψωμός
ψωμιεῖ σε : ψωμίζειν σε
ψώχοντες : ψώχειν
