# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Madrid BU Complut. 116-z°-22 (30)
# dc:coverage: ff. 111v-112v
# dc:relation: Diktyon 30646 
# dc:description: collazionato in riproduzioni digitali; titolo assente ma lettera capita del primo lemma, del tipo ξ; lemmi e interpretazioni disposti su due distinte colonne di scrittura; non si registrano particolari elementi decorativi 

ξαίνω : ξαίνειν
ξανθήν : ξανθός
ξανθίζεσθαι : ξανθίζεσθαι
ξεῖνοι : ξεῖνος
ξεῖνον : ξεῖνος
ξεναγῶν : ξεναγεῖν
ξενίαν : ξενία
ξενίζουσαν : ξενίζειν
ξεστόν : ξεστός
ξέσας : ξέσαι
ξηφηρεῖς : ξιφηρής
ξόανον : ξόανον
ξοῦθος : ξοῦθος
ξοῦθα : ξοῦθος
ξύει : ξύειν
ξυλεζομένη : ξυλίζειν
ξυμβαίη : ξυμβαίνειν
ξυμβαίνει : ξυμβαίνειν
ξύμμαχοι : ξύμμαχος
ξυνωρίδα : ξυνωρίς
ξύνιον : ξύνιον
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυστίδας : ξυστίς
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμῶσαι
ξύτρα : ξύτρα
ξυνωρίς : ξυνωρίς
ξυνών : ξυνών
ξυναχοῖτο : ξυναχεῖσθαι
ξυνάορον : ξυνάορος
ξυμπονῆσαι : ξυμπονῆσαι
ξυμφορά : ξυμφορά
ξυνήϊα : ξυνήϊον
ξύνες : ξύνες
ξυνθήματος : ξυνθήμα
ξυνωδά : ξυνωδός
ξύνθακος : ξύνθακος
ξυνοδόκος : ξυνοδόκος
ξυστόν : ξυστός
ξυστίδα : ξυστίς
ξυστός : ξυστός
ξυσμός : ξυσμός
ξώθεν : ξώθεν
