# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Madrid BU Complut. 116-z°-22 (30)
# dc:coverage: ff. 216-217
# dc:relation: Diktyon 30646 
# dc:description: collazionato in riproduzioni digitali; tit. del tipo ἀρχή τοῦ ... accompagnato da elementi decorativi con motivi zoomorfi; titoli ripassati in arancio-ocra; lemmi e interpretazioni disposti su un'unica colonna di scrittura in continuità, con puntini separativi ripassati in arancio-ocra

ψακάς : ψακάς
ψάλιον : ψάλιος
ψάλλειν : ψάλλειν
ψάλτιγξ : ψάλτιγξ
ψαρός : ψαρός
ψαῦσαι : ψαῦσαι
ψαφαρόν : ψαφαρός
ψέγει : ψέγειν
ψεδινός : ψεδνός
ψεδνῆδ : ψεδνή
ψαλαίσον : ψαλαίσον
ψεφαίας νυκτός : ψεφαία νῦξ
ψεφῶν : ψεφᾶν
ψεκάδων : ψεκάς
ψελλός : ψελλός
ψεστά : ψεστός
ψευδηγόρους : ψευδηγόρος
ψευδοεπῆ : ψευδοεπής
ψευδ᾽ἄγγελος : ψευδάγγελος
ψευσάμενοι : ψεύσασθαι
ψευδῆ : ψευδής
ψεῦδος : ψεῦδος
ψευδομυθεῖ : ψευδομυθεῖν
ψήγματα : ψήγμα
ψῆφος : ψῆφος
ψηφισαμένων : ψηφίσασθαι
ψηφίδες : ψηφίς
ψηλοῦσα : ψηλοῦν
ψηφοφορία : ψηφοφορία
ψήχειν : ψήχειν
ψιάδες : ψιάς
ψιλόν : ψιλός
ψιλοκορής : ψιλοκορής
ψογερούς : ψογερός
ψόγον : ψόγος
ψοφοδεής : ψοφοδεής
ψόφος : ψόφος
ψύξας : ψῦξαι
ψυκτήρ : ψυκτήρ
ψύλλα : ψύλλα
ψύλλοι : ψύλλος
ψύξουσι : ψύξειν
ψύτγα : ψύττα
ψυχρολογία : ψυχρολογία
ψυλκοῦμαι : ψυλκεῖσθαι
ψυχαγωγεῖ : ψυχαγωγεῖν
ψύχη : ψυχή
ψυχρός : ψυχρός
ψυχικός : ψυχικός
ψυχρολόγος : ψυχρολόγος
ψωκτόν : ψωκτός
ψωμός : ψωμός
ψωμιεῖ σε : ψωμίζειν σε
ψώχοντες : ψώχειν
