# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Oxford, Bodleian Library, Manuscript Class. Gr. 114 
# dc:coverage: ff. 62r-62v
# dc:relation: Diktyon ID 47976
# dc:description: collazionato in originale; tit. Ἀρχὴ τοῦ ξ στοιχείου; lettere iniziali dei lemmi ripassate in arancio-ocra

ξαίνω : ξαίνειν 
ξανθήν : ξανθή
ξανθίζεσθαι" : ξανθίζεσθαι
ξενοσύνην" : ξενοσύνη
ξεινοί : ξεινός
ξεναγών : ξεναγεῖν
ξεῖνον : ξεῖνος
ξόανον : ξόανον
ξενίαν : ξενία
ξενίζουσαν : ξενίζειν
ξεστόν : ξεστός  
ξιφήρεις : ξιφήρης
ξόανον : ξόανον
ξουθός :  ξουθός
ξουθά : ξουθός
ξύει : ξύειν
ξυλιζομένη : ξυλίζεσθαι
ξύμπαντος : ξύμπας
ξυμβαίει : ξυμβαίνειν
ξύμμαχοι : ξύμμαχος
ξυνωρίδα : ξυνωρίς
ξανθικός : ξανθικός
ξύνιον : ξύνιος
ξυμβαίνει : ξυμβαίνειν 
ξυνθήματος : ξύνθημα
ξύνιον : ξύνιος
ξύτρα : ξύτρα
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχῶς
ξυναρμώσας :  ξυναρμῶσαι
ξυνορίδα : ξυνορίς
ξυμφορᾶ : ξυμφορά
ξυνόν : ξυνός
ξυστίδας : ξυστίς
ξυνάορον : ξυνάορος
ξυμπονῆσαι : ξυμπονῆσαι
ξύνια :  ξύνιος
ξυνθήματος : ξύνθημα
ξυνῶν : ξυνιέναι
ξυνούσιον : ξυνούσιος
ξύνες : ξυνιέναι
ξύνωδα : ξύνωδος
ξυσμός : ξυσμός
ξύνθακος : ξύνθακος
ξυνοδόκος : ξυνοδόκος
ξυστῖδα : ξυστίς
ξυστός : ξυστός
ξῶθεν : ξῶθεν



