# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Oxford, Bodleian Library, Auct.T.II.11 (Misc. 211)
# dc:coverage: ff. 222-223
# dc:relation: Diktyon ID 47159
# dc:description: collazionato in originale e in riproduzioni digitali; tit. Ἀρχὴ τοῦ ξ; rudimentali decorazioni in inizio di stoicheion; lettere incipitarie di ogni lemma in inchiostro rosso

ξανθοῖσιν : ξανθός
ξεναγός : ξεναγός
ξεναγῆσαι : ξεναγῆσαι
ξανθῆς : ξανθός
ξανθήν : ξανθός
ξάνθου ἄπο : Ξάνθος
ξεναγωγῶν : ξεναγεῖν
ξείνοι : ξεῖνος
ξένος : ξένος
ξενίζειν : ξενίζειν
ξενών : ξενών
ξενίασα : ξενίσαι
ξέσταις : ξεστός
ξίρις : ξίρις
ξοῦθα : ξοῦθος
ξιφίρου : ξιφηφόρος
ξύλοχον : ξύλοχος
ξύλορον : ξύλορος
ξύμβαινε : ξυμβαίνειν
ξυμβεῖ : ξυμβαίνειν
ξυνάορον : ξυνάορος
ξυνάγωμεν : ξυνάγειν
ξύνες : ξυνιέναι
ξέω : ξέειν
ξεινοδόκον : ξεινοδόκος
ξεῖνον : ξεῖνος
ξενήϊον : ξενήϊον
ξενολόγους : ξενολόγος
ξεστούς : ξεστός
ξέστοις : ξεστός
ξηρόν : ξηρός
ξεῖνος : ξεῖνος
ξόανον : ξόανον
ξυλιζομένη : ξυλίζειν
ξυμβαίνοι : ξυμβαίνειν
ξύμβληντο : ξυμβαλεῖν
ξυμβάλλετο : ξυμβάλλειν
ξυναρμόσας : ξυναρμόσαι
ξύμβλυντο : ξυμβαλεῖν
ξυνδῆσαι : ξυνδῆσαι
ξυναυταῖς : ξυναυτός
ξυνεχῶς : συνεχής
ξυνέβηκεν : ξυμβῆναι
ξυνελαυνέμεν : ξυνελαύνειν
ξυνήϊα : ξυνήϊον
ξύνθημα : ξύνθημα
ξύνια : ξύνιον
ξυνοχή : ξυνοχή
ξυνωρίς : ξυνωρίς
ξυνωρόν : ξυνωρός
ξυνῶν : ξυνών
ξύστι : ξύστις
ξυστόν : ξυστός
ξυστῷ δόρατι : ξυστός
ξυνοφύιαν : ξυνοφύιος
ξυνέαζεν : ξυνάξαι
ξυνήϊον : ξυνήϊον
ξυνήεσαν : ξυνιέναι
ξυνήεισαν : ξυνιέναι
ξυνίον : ξυνιέναι
ξυνιέναι : ξυνιέναι
ξύνιστρον : ξύνιστρον
ξυνίσαν : ξυνιέναι
ξυνόν : ξυνός
ξυνοῦ : ξυνός
ξυνοίσειν : ξυνοίσειν
ξυνουσία : ξυνουσία
ξυμπονῆσαι : ξυμπονῆσαι
ξυνωρίς : ξυνωρίς
ξυστίδα : ξυστίς
ξυστοῖσι : ξυστός
ξυσμός : ξυσμός
ξῶθεν : ἔξωθεν
 
