# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Oxford, Bodleian Library, Auct.T.II.11 (Misc. 211)
# dc:coverage: ff. 310-311
# dc:relation: Diktyon ID 47159
# dc:description: collazionato in originale e in riproduzioni digitali; tit. Ἀρχὴ τοῦ ξ; rudimentali decorazioni in inizio di stoicheion; lettere incipitarie di ogni lemma in inchiostro rosso

ψακάς : ψακάς
ψαλίδες : ψαλίς
ψάλον : ψάλον
ψάλτιγξ : ψάλτιγξ
ψαίστα : ψαίστα
ψαλίοις : ψάλιον
ψάλλειν : ψάλλειν
ψαλτήριον : ψαλτήριον
ψαλέτρια : ψάλτρια
ψαμάθησιν : ψαμάθης
ψάροις καὶ κολοί : ψάρος
ψαύει : ψαύειν
ψάφαρον : ψάφαρος
ψεδνὴ δέ : ψεδνός
ψεκάδων : ψεκάς
ψηνός : ψηνός
ψευδοσπήσωμεν : ψευδοσπεῖν
ψιλόν : ψιλός
ψιλός : ψιλός
ψίνες : ψίς
ψοφοδεῆ : ψοφοδεής
ψογερούς : ψογερός
ψίων : ψίων
ψηφοφορίαν : ψηφοφορία
ψιθυρίζει : ψιθυρίζειν
ψικτά : ψικτός
ψοφεῖ : ψοφεῖν
ψυκτήρ : ψυκτήρ
ψύλλα : ψύλλα
ψυχαγωγεῖ : ψυχαγωγεῖν
ψαμάθον : ψάμαθος
ψαμμαθηδόν : ψαμμαθηδόν
ψάροπ : ψάροψ
ψαῦον : ψαῦον
ψεδνός : ψεδνός
ψεδνὴ δνηθρίξ : ψεδνός
ψευδήγορος : ψευδήγορος
ψευδέσι : ψευδής
ψῆρός τε : ψῆρος
ψῆφος : ψῆφος
ψιλή : ψιλός
ψήκει : ψήκειν
ψιάδας : ψιάς
ψιλή : ψιλός
ψόγος : ψόγος
ψύξασα : ψύξαι
ψύχοντες : ψύχειν
ψυχολκούμενοι : ψυχολκεῖν
ψυχρολογία : ψυχρολογία
ψυχολκοῦμαι : ψυχολκεῖν
ψώχοντες : ψώχειν
ψωκτόν : ψωκτός
ψαναφανδόν : ψαναφανδόν
ψίγματα : ψίγμα


