# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Oxford, Bodleian Library, Clarke 3 
# dc:coverage: ff. 62r-62v
# dc:relation: Diktyon ID 47758
# dc:description: collazionato in originale; tit. Ἀρχὴ τοῦ ξ; fascette decorative in inizio di stoicheion; lettere incipitarie in rosso; nei margini indicazioni del tipo ξ μετὰ τοῦ... per alfabetizzazione

ξαίνω : ξαίνειν
ξανθήν : ξανθός
ξανθοῖσιν : ξανθός
ξεῖνον : ξεῖνος
ξεῖνοι : ξεῖνος
ξεναγῶν : ξεναγεῖν
ξεναγῆσαι : ξεναγῆσαι
ξεναλόγος : ξεναλόγος
ξενίαν : ξενία
ξενίζει : ξενίζειν
ξενίζεται : ξενίζεσθαι
ξενίζουσαν : ξενίζειν
ξεστόν : ξεστός
ξιφήρεις : ξιφήρης
ξόανον : ξόανον
ξοῦθος : ξοῦθος
ξύει : ξύειν
ξυλιζομένη : ξυλίζειν
ξυμβαίνει : ξυμβαίνειν
ξύμμαχοι : ξύμμαχος
ξυνωρίδα : ξυνωρίς
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμόσαι
ξυνωρίς : ξυνωρίς
ξυνῶν : ξυνών
ξυνάορον : ξυνάορος
ξύνες : ξύνιος
ξυμπονῆσαι : ξυμπονῆσαι
ξυνία : ξυνία
ξυνθήματος : ξύνθημα
ξυνθακίς : ξυνθακίς
ξυστόν : ξυστός
ξυνθόκος : ξυνθόκος
ξυστίδα : ξυστίς
ξυστίδα : ξυστίς
ξυστός : ξυστός
ξυσμός : ξυσμός
ξῶθεν : ξῶθεν
 
