# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque Nationale de France, Supplément grec 1146
# dc:coverage: ff. 141v-142
# dc:relation: Diktyon ID 53803
# dc:description: collazionato in riproduzioni digitali; tit. in rosso del tipo ἀρχὴ τοῦ ξ στοιχείου; lemma e interpetamentum disposti di seguito ma su tre distinte colonne di scrittura, con prima lettera di ogni lemma rubricata in rosso, e l'interpretazione in inchiostro nero

ξαίνω : ξαίνειν
ξανθήν : ξανθός
ξανθίζεσθαι : ξανθίζεσθαι
ξενοσύνην : ξενοσύνη
ξεῖνοι : ξεῖνος
ξεναγών : ξεναγεῖν
ξεῖνον : ξεῖνος
ξενίαν : ξενία
ξενίζουσαν : ξενίζειν
ξέοντας : ξέειν
ξεστόν : ξεστός
ξιφήρεις : ξιφήρης
ξόανον : ξόανον
ξουθά : ξούθος
ξύει : ξύειν
ξυλιζομένη : ξυλίζειν
ξυμμαχοῖ : ξυμμαχεῖν
ξυνωρίς : ξυνωρίς
ξυμβαίνει : ξυμβαίνειν
ξυνθήματος : ξυνθήμα
ξύνειον : ξύνειον
ξύστρα : ξύστρα
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμόσαι
ξυνωρίδα : ξυνωρίς
ξυνωρίδα : ξυνωρίς
ξυνῶν : ξυνών
ξυστίδας : ξυστίς
ξυνάορον : ξυνάορος
ξυμπονῆσαι : ξυμπονῆσαι
ξύνια : ξύνιον
ξύνες : ξύνες
ξυνθήματος : ξυνθήμα
ξυνώδα : ξυνωδός
ξύνθακος : ξύνθακος
ξυνοδόκος : ξυνοδόκος
ξυστίδα : ξυστίς
ξυστός : ξυστός
ξυσμός : ξυσμός
ξῶθεν : ξῶθεν 
  

 


