# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque Nationale de France, Supplément grec 1146
# dc:coverage: ff. 173r-173v
# dc:relation: Diktyon ID 53803
# dc:description: collazionato in riproduzioni digitali; tit. in rosso del tipo ἀρχὴ τοῦ ξ στοιχείου; lemma e interpetamentum disposti di seguito ma su tre distinte colonne di scrittura, con prima lettera di ogni lemma rubricata in rosso, e l'interpretazione in inchiostro nero

ψακάς : ψακάς
ψάλιον : ψάλιον
ψάλπιγξ : ψάλπιγξ
ψάλλειν : ψάλλειν
ψαρός : ψαρός
ψαῦσαι : ψαῦσαι
ψαφαρόν : ψαφαρός
ψέγει : ψέγειν
ψεδνός : ψεδνός
ψεδνή : ψεδνός
ψεκάδων : ψεκάς
ψελλός : ψελλός
ψεστά : ψεστός
ψευδηγόρους : ψευδηγόρος
ψευδοεπεί : ψευδοεπείν
ψευδάγγελος : ψευδάγγελος
ψευσάμενοι : ψεύσασθαι
ψευδῆ : ψευδής
ψεῦδος : ψεῦδος
ψευδομυθεῖ : ψευδομυθεῖν
ψίγματα : ψίγμα
ψῆφος : ψῆφος
ψηφισαμένων : ψηφίσαι
ψηφίδες : ψηφίς
ψηφοφορία : ψηφοφορία
ψίχειν : ψίχειν
ψιάδες : ψιάς
ψιλόν : ψιλός
ψόγος : ψόγος
ψογερούς : ψογερός
ψοφοδεής : ψοφοδεής
ψόφος : ψόφος
ψυκτήρ : ψυκτήρ
ψύλλα : ψύλλα
ψύξις : ψύξις
ψύξις : ψύξις
ψύξας : ψύξαι
ψύλλοι : ψύλλος
ψύξουσι : ψύξειν
ψυχρολογία : ψυχρολογία
ψυχολκοῦμαι : ψυχολκεῖσθαι
ψυχαγωγεῖ : ψυχαγωγεῖν
ψυχρός : ψυχρός
ψυχικός : ψυχικός
ψυχρολόγος : ψυχρολόγος
ψωμός : ψωμός
ψωμιεῖ : ψωμίζειν 
ψώχοντες : ψώχειν
ψωγῆσαι : ψωγῆσαι
ψῶγον : ψώγος
ψωγερούς : ψωγερός
