# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque Nationale de France, Supplément grec 1195
# dc:coverage: ff. 74v-75r
# dc:relation: Diktyon ID 53873
# dc:description: collazionato in riproduzioni digitali; tit. in rosso del tipo ἀρχὴ τοῦ ξ στοιχείου; lemma e interpetamentum disposti di seguito ma su tre distinte colonne di scrittura, con prima lettera di ogni lemma rubricata in rosso, e l'interpretazione in inchiostro nero

ψάλιον : ψάλιον
ψάμαθις : ψάμαθις
ψαύεται : ψαύεσθαι
ψαύουσιν : ψαύειν
ψαρός : ψαρός
ψαφαρόν : ψαφαρός
ψαφαρόν : ψαφαρός
ψαφαρόν : ψαφαρός
ψεδνή : ψεδνός
ψελλίζουσα : ψελλίζειν
ψένει : ψένειν
ψέγει : ψέγειν
ψέρων : ψέρειν
ψευδηγόρος : ψευδηγόρος
ψευδεπήσομεν : ψευδολογῆσαι
ψεύτης : ψεύτης
ψέρει : ψέρειν
ψέρει : ψέρειν
ψηλός : ψηλός
ψηλαφιστέον : ψηλαφίζειν
ψηλαφίζων : ψηλαφίζειν
ψηλαφιζόμενος : ψηλαφίζεσθαι
ψηνή : ψηνή
ψηττία : ψηττία
ψηφοφορία : ψηφοφορία
ψῆφος : ψῆφος
ψηλαφισθείς : ψηλαφισθῆναι
ψιάδες : ψιάς
ψίαθος : ψίαθος
ψίζω : ψίζειν
ψίθυρος : ψίθυρος
ψιλός : ψιλός
ψιλός : ψιλός
ψιλός : ψιλός
ψιλός : ψιλός
ψιλόν : ψιλός
ψιλόν : ψιλός
ψιλόν : ψιλός
ψιλή : ψιλός
ψιλή : ψιλός
ψιλῶ : ψιλοῦν
ψιλοῦντες : ψιλοῦν
ψιλοκόρης : ψιλοκόρης
ψίσει : ψίσειν
ψοφερός : ψοφερός
ψόγος : ψόγος
ψόγος : ψόγος
ψοφεῖ : ψοφεῖν
ψοφεής : ψοφεής
ψόφος : ψόφος
ψυδράκιον : ψυδράκιον
ψύδρακον : ψύδρακον
ψυκτήριον : ψυκτήριον
ψύξουσι : ψύξειν
ψύττα : ψύττα
ψύττα : ψύττα
ψυχαγωγεῖται : ψυχαγωγεῖσθαι
ψυχαγωγήσας : ψυχαγωγῆσαι
ψυχρολογίας : ψυχρολογία
ψυχρά : ψυχρός
ψυχρότης : ψυχρότης
ψυχρότης : ψυχρότης
ψωμός : ψωμός
ψωμιεῖ : ψωμίζειν
ψώχω : ψώχειν
ψώχοντες : ψώχειν
ψωκτός : ψωκτός
ψωρά : ψωρός
ψωρά : ψωρός
ψῶρα : ψῶρα
