# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque Nationale de France, Supplément grec 659
# dc:coverage: ff. 107v-108
# dc:relation: Diktyon ID 53394
# dc:description: collazionato in riproduzioni digitali; tit. in rosso del tipo ἀρχὴ τοῦ ... στοιχείου; lemma e interpetamentum disposti di seguito in un'unica colonna di scrittura, con il lemma rubricato in rosso, e l'interpretazione in inchiostro nero

ψάλλειν : ψάλλειν
ψάλιον : ψάλιον
ψάλπιγξ : ψάλπιγξ
ψαρός : ψαρός
ψαῦσαι : ψαῦσαι
ψαφαρόν : ψαφαρός
ψεκάς : ψεκάς
ψέγει : ψέγειν
ψεδνός : ψεδνός
ψεδνή : ψεδνός
ψεκάδων : ψεκάς
ψελλός : ψελλός
ψεστά : ψεστός
ψευδηγόρους : ψευδηγόρος
ψευδοεπεί : ψευδοεπείν
ψευδάγγελος : ψευδάγγελος
ψευσάμενοι : ψεύσασθαι
ψευδῆ : ψευδής
ψεῦδος : ψεῦδος
ψευδομυθεῖ : ψευδομυθεῖν
ψίγματα : ψίγμα
ψῆφος : ψῆφος
ψηφισαμένων : ψηφίσαι
ψηφίδες : ψηφίς
ψηφοφορία : ψηφοφορία
ψήχην : ψήχειν
ψιάδες : ψιάς
ψιλόν : ψιλός
ψόγος : ψόγος
ψογερούς : ψογερός
ψοφοδεής : ψοφοδεής
ψόφος : ψόφος
ψυκτήρ : ψυκτήρ
ψύλλα : ψύλλα
ψύξις : ψύξις
ψύξας : ψύξαι
ψύλλοι : ψύλλος
ψύξουσι : ψύξειν
ψυχαγωγεῖ : ψυχαγωγεῖν
ψυχρός : ψυχρός
ψυχικός : ψυχικός
ψυχρολόγος : ψυχρολόγος
ψωμός : ψωμός
ψωμιεῖ : ψωμίζειν 
ψώχοντες : ψώχειν
ψαγῆσαι : ψαγῆσαι
ψωγερούς : ψωγερός
ψώγος : ψώγος
