# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque nationale de France, Grec 1720
# dc:coverage: ff. 187v
# dc:relation: Diktyon ID 51345
# dc:description: collazionato in riproduzioni digitali; il lessico si trova in conclusione del codice ai ff. 164-192v, mutilo in fine; tit. Ἀρχὴ τοῦ ξ στοιχείου; rudimentali elementi decorativi spesso zoomorfi accompagnano la rubrica in inizio di stoicheion; lettere incipitarie del primo lemma di ciascuno stoicheion in inchiostro rosso; disposizione del testo su un'unica colonna con lemma e interpretamentum disposti di seguito  

ξαίνω : ξαίνειν
ξανθὴν : ξανθός
ξανθήζεσθαι : ξανθῆζεσθαι
ξανθοῖσιν : ξανθός
ξενεῶν : ξενεύς
ξενωσύνην : ξενωσύνη
ξένοι : ξένος
ξεναγῶν : ξεναγεῖν
ξενίας : ξενία
ξίνον : ξίνος
ξιφήρεις : ξιφήρης
ξόανον : ξόανον
ξουθός : ξουθός
ξουθεῖ : ξουθεῖν
ξύει : ξύειν
ξυλιζομένη : ξυλίζειν
ξύμμαχοι : ξύμμαχος
ξυμβαίοι : ξυμβαίνειν
ξυνωρίδα : ξυνωρίς
ξυνωρόν : ξυνωρός
ξυνιέναι : ξυνιέναι
ξύμπτης : ξύμπτης
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμόζειν
ξυναίρεται : ξυναίρεσθαι
ξυνῶν : ξύνων
ξυστίδας : ξυστίς
ξυνάορον : ξυνάορος
ξυστάρχων : ξυστάρχης
ξυμπονῆσαι : ξυμπονῆσαι
ξυνηῖα : ξυνηῖον
ξύνες : ξυνιέναι
ξυνθήματος : ξυνθήμα
ξυνοδά : ξυνοδός
ξύνθακος : ξύνθακος
ξυνοθόκος : ξυνοθόκος
ξυστόν : ξυστός
ξυστίδα : ξυστίς
ξυστός : ξυστός
ξυσμός : ξυσμός
ξύστρα : ξύστρα
ξῶθεν : ξῶθεν
