# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque nationale de France, Grec 2617
# dc:coverage: ff. 46v
# dc:relation: Diktyon ID 52252
# dc:description: collazionato in riproduzioni digitali; tit. Ἀρχὴ τοῦ ξ; essenziali elementi decorativi affiancano la rubrica in inizio di stoicheion; disposizione del testo su quattro colonne con lemma e interpretamentum disposti su colonne affiancate 

ξαίνων : ξαίνειν
ξανθὴν : ξανθός
ξανθοῖσιν : ξανθός
ξανθίζεσθαι : ξανθίζεσθαι
ξεῖνοι : ξεῖνος
ξεῖνον : ξεῖνος
ξεναγών : ξεναγός
ξεναγῆσαι : ξεναγῆσαι
ξενάλογος : ξενάλογος
ξενίον : ξενίον
ξενίζει : ξενίζειν
ξενίζεται : ξενίζεσθαι
ξενιάζουσιν : ξενιάζειν
ξέστον : ξέστος
ξεστοῖο : ξέστος
ξιφήρεις : ξιφήρης
ξιφήρους : ξιφηφόρος
ξόανον : ξόανον
ξύει : ξύειν
ξυλιζομένη : ξυλίζειν
ξυμβαίνει : ξυμβαίνειν
ξύμμαχοι : ξύμμαχος
ξυνωρίδα : ξυνωρίς
ξυνϊέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμόζειν
ξουθός : ξουθός
ξουθά : ξουθός
ξυνορίς : ξυνορίς
ξυνῶν : ξύνων
ξυμβέν : ξυμβαίνειν
ξυνάορον : ξυνάορος
ξυμπονῆσαι : ξυμπονῆσαι
ξυνήϊα : ξυνήϊον
ξύνες : ξυνιέναι
ξυνθήματος : ξυνθήμα
ξυνοδά : ξυνοδός
ξύνθακος : ξύνθακος
ξυνοθόκος : ξυνοθόκος
ξυστόν : ξυστός
ξυστίδα : ξυστίς
ξυστίδας : ξυστίς
ξυσμός : ξυσμός
ξώθεν : ξῶθεν
