# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque nationale de France, Grec 2617
# dc:coverage: ff. 66v-67
# dc:relation: Diktyon ID 51345
# dc:description: collazionato in riproduzioni digitali; tit. Ἀρχὴ τοῦ ξ; essenziali elementi decorativi affiancano la rubrica in inizio di stoicheion; disposizione del testo su quattro colonne con lemma e interpretamentum disposti su colonne affiancate 

ψακάς : ψακάς
ψαλίον : ψάλιον
ψάλπιξ : ψάλπιξ
ψαρός : ψαρός
ψαίστα : ψαιστός
ψαῦσαι : ψαῦσαι
ψαφαρός : ψαφαρός
ψεῦδος : ψεῦδος
ψέγει : ψέγειν
ψεδνός : ψεδνός
ψευδηγόρους : ψευδηγόρος
ψευδοεπεῖ : ψευδοεπεῖν
ψευδομυθεῖ : ψευδομυθεῖν
ψήγματα : ψῆγμα
ψῆφος : ψῆφος
ψηφίδες : ψηφίς
ψήνες : ψήνη
ψηφοφορία : ψηφοφορία
ψήχειν : ψήχειν
ψῆφος : ψῆφος
ψιαίδας : ψιακάς
ψιλόν : ψιλός
ψιλοκόρης : ψιλοκόρης
ψιθυρίζει : ψιθυρίζειν
ψιλὸν ἄνθρωπον : ψιλός
ψιλτά : ψιλτός
ψιλός : ψιλός
ψόγον : ψόγος
ψογέρους : ψογερός
ψόφος : ψόφος
ψοφοδεῆς : ψοφοδεής
ψυκτήρ : ψυκτήρ
ψύλλα : ψύλλα
ψυχοῦσι : ψυχοῦν
ψυχικός : ψυχικός
ψύττα : ψύττα
ψυχρολογία : ψυχρολογία
ψυχρός : ψυχρός
ψυχουλκοῦμαι : ψυχουλκεῖσθαι
ψυχαγωγή : ψυχαγωγή
ψύξας : ψύχειν
ψύξουσι : ψύχειν
ψυχικός : ψυχικός
ψυχρολόγος : ψυχρολόγος
ψώκτον : ψώκτον
ψωμιεῖσαι : ψωμίζειν
ψώχοντες : ψώχειν
ψάλλειν : ψάλλειν
ψεδνεπενήνοσε : ψεδνεπενηνέσθαι
ψεκάδων : ψεκάς
ψελλός : ψελλός
ψευδάγγελος : ψευδάγγελος
ψευσάμενοι : ψεύδεσθαι
ψευδῆ : ψευδής
ψηφησαμένων : ψηφίζειν

