# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque nationale de France, Grec 2655
# dc:coverage: ff. 137v-138
# dc:relation: Diktyon ID 52290
# dc:description: collazionato in riproduzioni digitali; tit. Ἀρχὴ τοῦ ξ στοιχείου; disposizione del testo su due colonne con lemma e interpretamentum su ciascuna colonna; sono occasionalmente annotate in margine note che indicano alfabetizzazione del tipo τὸ ξ μετὰ τοῦ α. 

ξανθός : ξανθός
ξάνθος : ξάνθος
ξανθίκομος : ξανθίκομος
ξαίνων : ξαίνειν
ξανθίζεσθαι : ξανθίζεσθαι
ξεινοδόκος : ξενοδόκος
ξείνος : ξείνος
ξένος : ξένος
ξένιος Ζεύς : ξένιος
ξενών : ξενών
ξενία : ξενία
ξεστή : ξεστός
ξεστόν : ξεστός
ξεινήϊον : ξεινήϊον
ξεναγεῖται : ξεναγεῖν
ξεναγίζω : ξεναγίζειν
ξεναγῶ : ξεναγεῖν
ξενιτεύω : ξενιτεύειν
ξηνός : ξηνός
ξηρός ὑδρῶς : ξηρός
ξηρίον : ξηρίον
ξηραλοιφεῖν : ξηραλοιφεῖν
ξηραίνω : ξηραίνειν
ξιφήρης : ξιφήρης
ξίρυς : ξίρυς
ξιφήν : ξιφήν
ξιφηφόρος : ξιφηφόρος
ξιφίας : ξιφίας
ξιφιλῖνος : ξιφιλῖνος
ξιφῖνος : ξιφῖνος
ξουθός : ξουθός
ξόϊς καὶ ξοῖσδος : ξόϊς
ξοῦϊς : ξοῦϊς
ξουφηρία : ξουφηρία
ξόανον : ξόανον
ξυστός : ξυστός
ξυσμός : ξυσμός
ξύμμαχοι : ξύμμαχος
ξύλοχος : ξύλοχος
ξυνός : ξυνός
ξυνωμότης : ξυνωμότης
ξυρός : ξυρός
ξυνωρίς : ξυνωρίς
ξυνουσία : ξυνουσία
ξυνόαρος : ξυνόαρος
ξυσίστα : ξυσίστα
ξυνωμοσία : ξυνωμοσία
ξύλεια : ξύλεια
ξυνήϊα : ξυνήϊον
ξυνωδά : ξυνωδός
ξύστον : ξυστός
ξύνθημα : ξύνθημα
ξυλήφιον : ξυλήφιον
ξυνόν : ξυνός
ξύλον : ξύλον
ξυμβαίη : ξυμβαίνειν
ξυνιέναι : ξυνιέναι
ξυνών : ξύνων
ξύνες : ξυνιέναι
ξυμπονῆσαι : ξυμπονῆσαι
ξύει : ξύειν
ξύμβλητον : ξύμβλητος
ξύνιον : ξύνιον
ξυνίασι : ξυνιέναι
ξυνίεις : ξυνιέναι
ξυνέηκε : ξυνιέναι
ξυνεχῶς : ξυνεχῶς
ξῶθεν : ξῶθεν
