# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque nationale de France, Grec 2655
# dc:coverage: ff. 137v-138
# dc:relation: Diktyon ID 52290
# dc:description: collazionato in riproduzioni digitali; tit. Ἀρχὴ τοῦ ψ στοιχείου; disposizione del testo su due colonne con lemma e interpretamentum su ciascuna colonna; sono occasionalmente annotate in margine note che indicano alfabetizzazione del tipo τὸ ψ μετὰ τοῦ α. 


ψάρος : ψάρος
ψαρός : ψαρός
ψαρώτατος : ψαρός
ψαλμός : ψαλμός
ψαφαρός : ψαφαρός
ψαφαρῆς : ψαφαρής
ψακάς : ψακάς
ψάμμθος : ψάμμος
ψαλτήριον : ψαλτήριον
ψαίκαλον : ψαίκαλον
ψαίκαρον : ψαίκαρον
ψαλτήριον νοητόν : ψαλτήριον
ψαῦσαι : ψαῦσαι
ψᾶν : ψᾶν
ψαλάξεις : ψαλάξις
ψακάζει : ψακάζειν
ψαίρειν : ψαίρειν
ψεδνός : ψεδνός
ψευδηγόρος : ψευδηγόρος
ψεφηνὸς ἀνήρ : ψεφηνός
ψευδηγορία : ψευδηγορία
ψελλός : ψελλός
ψεκάς : ψεκάς
ψεῦδος : ψεῦδος
ψέλλιον : ψέλλιον
ψέφος : ψέφος
ψέγει : ψέγειν
ψελλίζει : ψελλίζειν
ψεκάζω : ψεκάζειν
ψηνός : ψηνός
ψῆνες : ψήνη
ψῆφος : ψῆφος
ψηφάδες : ψηφάς
ψηλαφία : ψηλαφία
ψηφηφορία : ψηφοφορία
ψήγματα : ψῆγμα
ψησίον : ψησίον
ψήχειν : ψήχειν
ψήλαι : ψήλη
ψηνίζω : ψηνίζειν
ψηνύξαι : ψηνύξαι
ψιλότατος : ψιλός
ψιλός : ψιλός
ψιθυρισμός : ψιθυρισμός
ψιττακός : ψιττακός
ψιάς : ψιάς
ψίξ : ψίξ
ψιττάκια : ψιττάκιον
ψικίον : ψικίον
ψινύθιον : ψινύθιον
ψίω : ψίειν
ψίσω : ψίσειν
ψοφοδεής : ψοφοδεής
ψοίθης : ψοίθης
ψοῖθος : ψοῖθος
ψολόεις : ψολόεις
