# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque Nationale de France, grec 2661
# dc:coverage: ff. 118v-119r
# dc:relation: Diktyon ID 52296
# dc:description: collazionato in riproduzioni digitali; tit. del tipo στοιχείον ξ μετὰ τὸ α; assenza di elementi decorativi in inizio di stoicheion; testo continuo su un'unica colonna; sono in inchiostro rosso le lettere iniziali di ciascun lemma

ψεκάς : ψεκάς
ψαλίον : ψαλίον
ψάλτιγξ : ψάλτιγξ
ψάλλειν : ψάλλειν
ψαρὸς : ψαρός
ψαῦσαι : ψαῦσαι
ψαφαρόν : ψαφαρός
ψέγει : ψέγειν
ψεδνός : ψεδνός
ψεκάδων : ψεκάς
ψελλὸς : ψελλός
ψεστὰ : ψεστός
ψευδηγόρους : ψευδηγόρος
ψευδοεπεῖ : ψευδοεπεῖν
ψευδάγγελος : ψευδάγγελος
ψευσάμενοι : ψεύσασθαι
ψευδῆ : ψευδής
ψεῦδος : ψεῦδος
ψευδομυθεῖ : ψευδομυθεῖν
ψήγματα : ψῆγμα
ψῆφος : ψῆφος
ψηφισαμένων : ψηφίζεσθαι
ψηφίδες : ψηφίς
ψηφοφορία : ψηφοφορία
ψήχειν : ψήχειν
ψιάδας : ψιάς
ψιλὸν : ψιλός
ψικόρης : ψικόρης
ψιττά : ψιττά
ψιλὸν ἄνθρωπον : ψιλός ἄνθρωπος
ψόγον : ψόγος
ψογρούς : ψογρός
ψοίθης : ψοίθης
ψόφος : ψόφος
ψοφοδεής : ψοφοδεής
ψυκτήρ : ψυκτήρ
ψύλλα : ψύλλα
ψύξας : ψύξαι
ψύξουσιν : ψύξειν
ψυττᾶν : ψυττᾶν
ψυχρολογία : ψυχρολογία
ψυχαγοῦμαι : ψυχαγοῦσθαι
ψυχαγωγεῖ : ψυχαγωγεῖν
ψυχρός : ψυχρός
ψυχικός : ψυχικός
ψυχρολόγος : ψυχρολόγος
ψωκτόν : ψωκτός
ψωμιεῖ : ψωμίζειν
ψώφοντες : ψώφειν



