# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque Nationale de France, grec 2656
# dc:coverage: ff. 102v-103v
# dc:relation: Diktyon ID 52291
# dc:description: collazionato in originale e in riproduzioni digitali; tit. Ἀρχὴ τῆς ξ; fascette decorative; testo su due colonne


ξαίνω : ξαίνειν
ξανθὴν : ξανθός
ξανθίζεσθαι : ξανθίζεσθαι
ξενοσύνην : ξενοσύνη
ξεῖνοι : ξεῖνος
ξεάγων : ξεναγεῖν
ξενίαν : ξενία
ξείνον : ξεῖνος
ξενίζουσα : ξενίζειν
ξεστὶν : ξεστός
ξιφείρει : ξιφήρης
ξοάνον : ξόανον
ξουθὸς : ξουθός
ξουθᾶ : ξουθός
ξύει : ξύειν
ξύμπαντος : ξύμπας
ξυλιζομένη : ξυλίζειν
ξυμβαίη : ξυμβαίνειν
ξύμμαχοι : ξύμμαχος
ξυνωρίδα : ξυνωρίς
ξανθικὸς : ξανθικός
ξύνιον: ξύνιεν : ξυνιέναι
ξυμβαίνει : ξυμβαίνειν
ξύνιον : ξύνιον
ξυνθήματος : ξύνθημα
ξύτρα : ξύτρα
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμόσαι
ξυνωρίδα : ξυνωρίς
ξυνωρὶς : ξυνωρίς
ξυνῶν : ξύνων
ξυστίδας : ξύστις
ξυνάωρον : ξυνάορος
ξυμπονῆσαι : ξυμπονεῖν
ξύνια : ξύνιον
ξυνθήματος : ξύνθημα
ξυνώδα : ξύνωδος
ξύνθακος : ξύνθακος
ξυνοδόκος : ξυνοδόκος
ξύστιδα : ξύστις
ξυστὸς : ξυστός
ξυσμὸς : ξυσμός
ξωθὲν : ξώθεν

