# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Paris, Bibliothèque Nationale de France, grec 2659
# dc:coverage: ff. 102v-103v
# dc:relation: Diktyon ID 52294
# dc:description: collazionato in originale e in riproduzioni digitali; tit. Ἀρχὴ τοῦ ξ στοιχείου; fascette decorative; testo su due colonne


ξαίνω : ξαίνειν
ξανθὴν : ξανθός
ξανθήζεσθαι : ξανθίζεσθαι
ξενοσύνην : ξενοσύνη
ξείνοι : ξεῖνος
ξεάγων : ξεναγεῖν
ξενίζουσα : ξενίζειν
ξενίαν : ξενία
ξεστὸν : ξεστός
ξείνον : ξεῖνος
ξιφείρεις : ξιφήρης
ξοάνον : ξόανον
ξανθὸς : ξανθός
ξουθᾶ : ξουθός
ξύει : ξύειν
ξύμπαντος : ξύμπας
ξυλιζομένη : ξυλίζειν
ξυμβαίη : ξυμβαίνειν
ξύμμαχοι : ξύμμαχος
ξυνωρίδα : ξυνωρίς
ξανθικὸς : ξανθικός
ξύνιον: ξύνιεν : ξυνιέναι
ξυμβαίνει : ξυμβαίνειν
ξυνθήματος : ξύνθημα
ξύνιον : ξύνιον
ξύτρα : ξύτρα
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμόσαι
ξυνωρίδα : ξυνωρίς
ξυνωρὶς : ξυνωρίς
ξυνῶν : ξύνων
ξυστίδας : ξύστις
ξυνάορον : ξυνάορος
ξυμπονῆσαι : ξυμπονεῖν
ξύνια : ξύνιον
ξυνθήματος : ξύνθημα
ξύνθακος : ξύνθακος
ξύνωδα : ξύνωδος
ξυνοδόκος : ξυνοδόκος
ξύστιδα : ξύστις
ξυσμὸς : ξυσμός
ξυστὸς : ξυστός
ξυνωμοσία : ξυνωμοσία
ξωθέν : ξώθεν

