# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Praha, Knihovna Národního muzea, 1 Da 05 + X F 50	
# dc:coverage: ff. ***
# dc:relation: Diktyon 55538 
# dc:description: collazionato in riproduzioni digitali; 

ξαίνων : ξαίνειν
ξανθήν : ξανθός
ξανθίζεσθαι : ξανθίζεσθαι
ξενωσύνην : ξενωσύνη
ξεῖνοι : ξεῖνος
ξεναγῶν : ξεναγεῖν
ξείνο : ξείνος
ξενίαν : ξενία
ξενιαζοῦσαν : ξενιάζειν
ξεστόν : ξεστός
ξηρὰν λόφαν : ξηρός
ξιφήρεις : ξιφήρης
ξόανον : ξόανον
ξουθός : ξουθός
ξουθά : ξουθός
ξύει : ξύειν
ξυλιζομένη : ξυλίζειν
ξυμβαίη : ξυμβαίνειν
ξύμμαχοι : ξύμμαχος
ξυνωρίδα : ξυνωρίς
ξυνθήματος : ξυνθήμα
ξυνήιον : ξυνήιον
ξυνωρόν : ξυνωρός
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμόσαι
ξυναίρεται : ξυναίρεσθαι
ξυνωρίς : ξυνωρίς
ξυνῶν : ξυνεῖναι
ξυνάορον : ξυνάορος
ξυστίδας : ξυστίς
ξυστάρχων : ξυστάρχης
ξυμπονῆσαι : ξυμπονῆσαι
ξυνήια : ξυνήιον
ξύνες : ξύναι
ξυνθήματος : ξυνθήμα
ξυνωδά : ξυνωδός
ξύνθακος : ξύνθακος
ξυνοθόκος : ξενοδόχος
ξυστόν : ξυστός
ξύστρα : ξύστρα
ξυστίδα : ξυστίς
ξυστός : ξυστός
ξυσμός : ξυσμός
ξυμβαίνει : ξυμβαίνειν
ξώθεν : ξώθεν
