# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Sinai, Μονή της Αγίας Αικατερίνης, 1205	
# dc:coverage: ff. 294v-295r
# dc:relation: Diktyon ID 59580
# dc:description: collazionato in riproduzioni digitali; tit. Ἀρχὴ τοῦ ξ στοιχείου; non si rintracciano notevoli elementi decorativi; il titolo dello stoicheion e la lettera iniziale di ogni lemma sono vergati in rosso; testo su due colonne, ma lemma e interpretamentum disposti nella medesima colonna di scrittura


ξανθήν : ξανθήν
ξανθίζεσθαι : ξανθίζεσθαι
ξενοσύνην : ξενοσύνην
ξεινοὶ : ξεῖνοι
ξεναγῶν : ξεναγῶν
ξείνον : ξεῖνον
ξενίαν : ξενίαν
ξενίζουσαν : ξενίζουσαν
Λέοντας : λέοντας
ξεστόν : ξεστόν
ξιφήρεις : ξιφήρεις
ξόανον : ξόανον
ξοῦθος : ξοῦθος
ξυνωρίς : ξυνωρίς
ξύνειον : ξύνειον
ξύστρα : ξύστρα
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξύει : ξύει
ξυρός : ξυρός
ξίφος : ξίφος
ξυνεχῶς : ξυνεχῶς
ξυναρμώσας : ξυναρμώσας
ξυνορίδα : ξυνορίδα
ξυνωρίδα : ξυνωρίδα
ξυστίδας : ξυστίδας
ξυνάορον : ξυνάορον
ξυμπονῆσαι : ξυμπονῆσαι
ξύνια : ξύνια
ξύνες : ξύνες
ξυνωδᾶ : ξυνωδᾶ
ξυνοδόχος : ξυνοδόχος
ξυστίδα : ξυστίδα
ξυστός : ξυστός
ξυσμός : ξυσμός
ξυείματα : ξυείματα
ξυλοπέδη : ξυλοπέδη
ξῶθεν : ξῶθεν

ora inserisci dopo i due punti forma all'infinito presente o aoristo per i verbi e al nominativo maschile singolare per nomi e aggettivi

ξανθήν : ξανθός
ξανθίζεσθαι : ξανθίζεσθαι
ξενοσύνην : ξενοσύνη
ξεῖνοι : ξεῖνος
ξεναγῶν : ξεναγεῖν
ξεῖνον : ξεῖνος
ξενίαν : ξενία
ξενίζουσαν : ξενίζειν
λέοντας : λέων
ξεστόν : ξεστός
ξιφήρεις : ξιφήρης
ξόανον : ξόανον
ξοῦθος : ξοῦθος
ξυνωρίς : ξυνωρίς
ξύνειον : ξύνειον
ξύστρα : ξύστρα
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξύει : ξύειν
ξυρός : ξυρός
ξίφος : ξίφος
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμόζειν
ξυνορίδα : ξυνορίς
ξυνωρίδα : ξυνωρίς
ξυστίδας : ξυστίς
ξυνάορον : ξυνάορος
ξυμπονῆσαι : ξυμπονῆσαι
ξύνια : ξύνιον
ξύνες : ξυνιέναι
ξυνωδᾶ : ξυνωδεῖν
ξυνοδόχος : ξυνοδόχος
ξυστίδα : ξυστίς
ξυστός : ξυστός
ξυσμός : ξυσμός
ξυείματα : ξυείμα
ξυλοπέδη : ξυλοπέδη
ξῶθεν : ξῶθεν
