# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Sinai, Μονή της Αγίας Αικατερίνης, 1683	
# dc:coverage: ff. 183v-184r
# dc:relation: Diktyon ID 60058
# dc:description: collazionato in riproduzioni digitali; tit. Ἀρχὴ τοῦ ξ στοιχείου; fascette ornamentali in inizio di stoichione; il titolo dello stoicheion e la lettera iniziale di ogni lemma sono vergati in rosso; testo su due colonne, ma lemma e interpretamentum disposti nella medesima colonna di scrittura

ξαίνω : ξαίνειν
ξανθός : ξανθός
ξανθήν : ξανθός
ξανθίζεσθαι : ξανθίζεσθαι
ξανθοῖσιν : ξανθός
ξένα : ξένος
ξέσαντες : ξέσαι
ξενοσύνη : ξενοσύνη
ξεῖνοι : ξεῖνος
ξένιος : ξένιος
ξενίζει : ξενίζειν
ξεναγός : ξεναγός
ξεναγῆσαι : ξεναγῆσαι
ξεναγών : ξεναγός
ξεναλόγος : ξεναλόγος
ξεῖνος : ξεῖνος
ξενία : ξενία
ξενίζουσαν : ξενίζειν
ξενίζεται : ξενίζεσθαι
ξεστόν : ξεστός
ξεστούς : ξεστός
ξενοδοχῶν : ξενοδόχος
ξηραλείφειν : ξηραλείφειν
ξηρὰ λοιφή : ξηρός
ξιφήρης : ξιφήρης
ξιφήρεις : ξιφήρης
ξόανον : ξόανον
ξουθός : ξουθός
καὶ ξουθά : ξουθός
ξύει : ξύειν
ξύλοχον : ξύλοχος
ξυλοπέδη : ξυλοπέδη
ξυλιζομένη : ξυλίζειν
ξυμβαίῃ : ξυμβαίνειν
ξύμμαχοι : ξύμμαχος
ξυνοῖσιν : ξυνιέναι
ξυνωρίδα : ξυνωρίς
ζυγήν : ζυγός
ξυνθήματος : ξυνθήμα
ξυνήϊον : ξυνήϊον
ξυνήεισας : ξυνιέναι
ξύνωρον : ξύνωρος
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμόζειν
ξυναίρεται : ξυναίρεσθαι
ξυνῶν : ξύνων
ξυνωρίς : ξυνωρίς
ξυστίδας : ξυστίς
ξυστάρχων : ξυστάρχης
ξυνάορον : ξυνάορος
ξυροῦ ἀκμῆς : ξυρός
ξυρίδες : ξυρίς
ξυμπονῆσαι : ξυμπονῆσαι
ξυνόν : ξυνός
ξυνήϊα : ξυνήϊον
ξύνες : ξυνιέναι
ξυνθήματος : ξυνθήμα
ξυνωδά : ξυνωδός
ξύνθακες : ξύνθακος
ξυστόν : ξυστός
ξυστίδα : ξυστίς
ξυστός : ξυστός
ξύνφορβος : ξύνφορβος
ξυσμός : ξυσμός
ξενοθόκος : ξενοθόκος
ξυμβαίνει : ξυμβαίνειν
ξυσταρχεῖς : ξυσταρχεῖν
ξύστρα : ξύστρα
ξυστίς : ξυστίς
ξυμβέβλητο : ξυμβάλλεσθαι
ξύνευγος : ξύνευγος
ξυστῷ : ξυστός
ξύσματα : ξύσμα
ξύσαντι : ξύσαι
ξῶθεν : ξῶθεν
