# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2026-01-23
# dc:source: Sélestat, Bibliothèque humaniste, ms. 105
# dc:coverage: ff. 79v-80
# dc:relation: Diktyon ID 58091
# dc:description: collazionato in riproduzioni digitali e microfilm; tit. Ἀρχὴ τοῦ ψ στοιχείου; la prima lettera del primo lemma è decorata con motivi antropomorfi; testo su due colonne, ma lemma e interpretamentum sono disposti sulla medesima colonna

ψακάς : ψακάς
ψάλιον : ψάλιος
ψάλτηξ : ψάλτιγξ
ψάλλειν : ψάλλειν
ψαρός : ψαρός
ψαῦσαι : ψαύειν
ψαφαρὸν : ψαφαρὸς
ψέγει : ψέγειν
ψεδνὸς : ψεδνός
ψεδνὴ : ψεδνός
ψεκάδων : ψεκάς
ψελλός : ψελλός
ψεστὰ : ψεστός
ψευδηγόρους : ψευδηγόρος
ψευδοεπεῖ : ψευδοεπεῖν
ψευδ᾽ἄγγελος : ψευδ᾽ἄγγελος
ψευσάμενοι : ψεύσασθαι
ψευδὴ : ψευδής
ψεῦδος : ψεῦδος
ψευδομυθεῖ : ψευδομυθεῖν
ψήγματα : ψῆγμα
ψῆφος : ψῆφος
ψηφισαμένων : ψηφίσαι
ψηφίδες : ψηφίς
ψηφορία : ψηφορία
ψίχειν : ψίχειν
ψιᾶδες : ψιάς
ψιλὸν : ψιλός
ψόγας : ψόγος
ψογεροὺς : ψογερός
ψοφοδεὴς : ψοφοδεής
ψόφος : ψόφος
ψυκτήρ : ψυκτήρ
ψύλλα : ψύλλος
ψύξας : ψύχειν
ψύλλοι : ψύλλος
ψύξουσι : ψύχειν
ψυχρολογία : ψυχρολογία
ψυχουκοῦμα : ψυχουλκοῦμαι
ψυχαγωγεῖ : ψυχαγωγεῖν
ψυχρὸς : ψυχρός
ψυχικὸς : ψυχικός
ψυχρόλογος : ψυχρόλογος
ψωμὸς : ψωμός
ψωμιεῖσε : ψωμιεῖν
ψώχοντες : ψώχειν
ψώγος : ψώγος
ψωγεῖσθαι : ψωγεῖσθαι
ψωγεροὺς : ψωγερός



