# METADATA format: Dublin Core (dc:https://www.dublincore.org/specifications/dublin-core/dcmi-terms/elements11/)
# dc:creator: Benvenuto, Carmelo Nicolò
# dc:date: 2025-08-08
# dc:source: Utrecht, Universiteitsbibliotheek, 1.C.03 (T. 18, Omont 49)	
# dc:coverage: ff. ***
# dc:relation: Diktyon 64509 
# dc:description: collazionato in riproduzioni digitali; 

ξαίνω : ξαίνειν
ξανθήν : ξανθός
ξανθίζεσθαι : ξανθίζεσθαι
ξάνθος : ξάνθος
ξένος : ξένος
ξενοδόχος : ξενοδόχος
ξενηκούσθησαν : ξενηκουσθῆναι
ξενία : ξενία
ξενοσύνην : ξενοσύνη
ξεῖνοι : ξεῖνος
ξεῖνον : ξεῖνος
ξεστόν : ξεστός
ξεναγῶν : ξεναγεῖν
ξενία : ξενία
ξενίζουσαν : ξενίζειν
ξιφήρεις : ξιφήρης
ξιφίσματα : ξίφισμα
ξηνός : ξηνός
ξόανον : ξόανον
ξύει : ξύειν
ξουθός : ξουθός
ξουθά : ξουθός
ξύμπαντος : σύμπας
ξυμβαίει : ξυμβαίνειν
ξυλιζομένη : ξυλίζειν
ξύμμαχοι : ξύμμαχος
ξυνωρίδα : ξυνωρίς
ξύνιον : ξύνιον
ξυμβαίνει : ξυμβαίνειν
ξύλον : ξύλον
ξύγκλυδες : ξύγκλυς
ξυνθήματος : ξυνθήμα
ξυνάρασθαι : ξυνάρασθαι
ξυνίστωρ : ξυνίστωρ
ξύσαι : ξῦσαι
ξύνιον : ξένιον
ξύτρα : ξύτρα
ξυνιέναι : ξυνιέναι
ξυνουσία : ξυνουσία
ξυνεχῶς : ξυνεχής
ξυναρμώσας : ξυναρμόσαι
ξυνωρίδα : ξυνωρίς
ξυνῶν : ξυνεῖναι
ξυστίδας : ξυστίς
ξυνάορον : ξυνάορος
ξυμπονῆσαι : ξυμπονῆσαι
ξυνθήματος : ξυνθήμα
ξύνωδα : ξύνωδος
ξύνθακος : ξύνθακος
ξυνοδόχος : ξενοδόχος
ξυστίδα : ξυστίς
ξυσμός : ξυσμός
ξυστός : ξυστός
ξυνωμασία : ξυνωμασία
ξῶθεν : ξῶθεν
